Soil,H2O,P,SpID,Ind,Diam,Ht,Lv,Lft,SF,SLA,Lf,Stem,Root,Cot,Sht,Tot
1,1,0,Qr,2,2.44,21,16,,131.3,20.94098884,0.627,0.265,0.275,,0.892,1.167
1,1,0,Qr,3,1.41,8.5,11,,20.8,29.71428571,0.07,0.052,0.061,,0.122,0.183
1,1,0,Qr,5,1.85,10,3,,11.7,20.52631579,0.057,0.046,0.073,,0.103,0.176
1,1,0,Qr,2,1.41,14,9,,30,27.52293578,0.109,0.082,0.046,,0.191,0.237
1,1,0,Qr,5,1.37,8.5,8,,33.4,20.49079755,0.163,0.05,0.063,,0.213,0.276
1,1,0,Qr,2,1.51,9.5,11,,33.1,23.81294964,0.139,0.092,0.082,,0.231,0.313
1,1,0,Qr,3,1.44,14,19,,114.1,19.63855422,0.581,0.187,0.16,,0.768,0.928
0,1,1,Qr,2,1.44,9,3,,6.92,19.77142857,0.035,0.046,0.071,,0.081,0.152
0,1,1,Qr,2,1.81,12,1,,4.6,25.55555556,0.018,0.072,0.032,,0.09,0.122
0,1,1,Qr,4,1.34,10,3,,12.3,25.10204082,0.049,0.094,0.109,,0.143,0.252
0,1,1,Qr,2,1.27,1.5,2,,6.7,23.10344828,0.029,0.059,0.056,,0.088,0.144
0,1,1,Qr,4,1.18,7,4,,3.1,19.375,0.016,0.038,0.059,,0.054,0.113
1,1,1,Qr,1,2.35,22,18,,178.8,23.5883905,0.758,0.258,0.216,,1.016,1.232
1,1,1,Qr,2,1.41,9,5,,11.1,23.125,0.048,0.066,0.063,,0.114,0.177
1,1,1,Qr,3,1.63,15,13,,100.7,23.86255924,0.422,0.134,0.105,,0.556,0.661
1,1,1,Qr,5,2.87,31,26,,359.2,25.4751773,1.41,0.504,0.397,,1.914,2.311
1,1,1,Qr,1,2.04,16,15,,81.3,19.49640288,0.417,0.233,0.234,,0.65,0.884
1,1,1,Qr,2,2.23,17,11,,74.3,16.88636364,0.44,0.284,0.394,,0.724,1.118
1,1,1,Qr,3,1.44,11.5,3,,4.4,31.42857143,0.014,0.057,0.047,,0.071,0.118
1,1,1,Qr,4,1.8,15.5,14,,52.8,24.33179724,0.217,0.124,0.088,,0.341,0.429
1,1,1,Qr,5,1.89,13,5,,28,19.17808219,0.146,0.151,0.296,,0.297,0.593
1,1,1,Qr,1,1.46,13,13,,78.5,23.71601208,0.331,0.088,0.063,,0.419,0.482
1,1,1,Qr,2,1.14,10.5,7,,18.3,26.91176471,0.068,0.059,0.032,,0.127,0.159
1,1,1,Qr,3,2.41,19,16,,154.5,22.10300429,0.699,0.312,0.379,,1.011,1.39
1,1,1,Qr,5,1.23,8,2,,18.9,17.5,0.108,0.24,0.071,,0.348,0.419
0,0,0,Rs,1,2.08,18.5,9,21,161.1,36.86498856,0.437,0.333,0.288,,0.77,1.058
0,0,0,Rs,2,3.09,14.5,9,27,229.1,39.22945205,0.584,0.346,0.273,,0.93,1.203
0,0,0,Rs,3,1.49,10,8,10,62.1,44.04255319,0.141,0.186,0.047,,0.327,0.374
0,0,0,Rs,4,2.06,11.5,10,21,132.2,45.42955326,0.291,0.186,0.12,,0.477,0.597
0,0,0,Rs,5,1.78,11,8,18,164.5,61.38059701,0.268,0.18,0.209,,0.448,0.657
0,0,0,Rs,1,1.72,12.5,9,24,175.1,47.84153005,0.366,0.243,0.158,,0.609,0.767
0,0,0,Rs,2,2.09,17.5,9,17,124.1,31.33838384,0.396,0.368,0.264,,0.764,1.028
0,0,0,Rs,3,1.81,16.5,7,17,122.8,41.62711864,0.295,0.215,0.16,,0.51,0.67
0,0,0,Rs,4,2.02,12,9,24,182.8,40.26431718,0.454,0.284,0.262,,0.738,1
0,0,0,Rs,5,1.94,14,10,17,102.6,41.20481928,0.249,0.201,0.095,,0.45,0.545
0,0,0,Rs,1,1.96,13.5,8,10,66.2,47.62589928,0.139,0.166,0.1,,0.305,0.405
0,0,0,Rs,2,1.76,14,9,13,81,38.75598086,0.209,0.159,0.137,,0.368,0.505
0,0,0,Rs,3,2.19,16,10,23,245.8,78.03174603,0.315,0.257,0.203,,0.572,0.775
0,0,0,Rs,4,2.25,12.5,5,14,130.6,38.52507375,0.339,0.306,0.293,,0.645,0.938
0,0,0,Rs,5,2.53,18.5,8,16,210.3,39.75425331,0.529,0.434,0.357,,0.963,1.32
1,0,0,Rs,1,2.29,15.5,11,30,291.3,38.32894737,0.76,0.279,0.199,,1.039,1.238
