Location,Indonesian_name,Species,Low_Wd,Wd,Hi_Wd,Girth,Cw_Avg,Cw_Depth,Hcb,CP_Idx,CF_idx,Isolated,Dense,Cw_Surf,Cw_Vol,Dbh,Height
Jambi,Pulai,Alssch,313,360,515,52,3.582945715,3.4,2,5,5,Yes,open,77.92914518,91.41511023,16.55211408,5.4
Jambi,Pulai,Alssch,313,360,515,25,2.915475947,0.5,2.4,5,5,Yes,open,28.65581713,8.901179185,7.957747155,2.9
Jambi,Pulai,Alssch,313,360,515,50,3.834057903,3,2.5,5,5,Yes,open,79.300704,92.36282402,15.91549431,5.5
Jambi,Pulai,Alssch,313,360,515,248,11.7260394,12,12,5,4,No,open,877.4253789,3455.751919,78.94085177,24
Jambi,Pulai,Alssch,313,360,515,179,10.02422067,10,5,5,4,Yes,open,630.3491114,2104.552919,56.97746963,15
Jambi,Pulai,Alssch,313,360,515,50.3,4.298837052,4.5,4,4,4,Yes,low,119.7521003,174.1698967,16.01098728,8.5
Jambi,Pulai,Alssch,313,360,515,38.5,4.347413024,5.7,2.5,1,4,No,high,144.0343107,225.6291844,12.25493062,8.2
Jambi,Pulai,Alssch,313,360,515,63,5.245950819,5.9,4.9,1,3,No,high,187.4527453,340.062744,20.05352283,10.8
Jambi,Pulai,Alssch,313,360,515,50.7,3.746998799,4,4,5,3,Yes,open,92.21269164,117.621229,16.13831123,8
Jambi,Pulai,Alssch,313,360,515,47.5,3.894868419,1.4,3.6,5,5,Yes,open,58.75897716,44.48076318,15.11971959,5
Jambi,Pulai,Alssch,313,360,515,35.7,3,3.1,2.9,5,4,Yes,open,57.80941535,58.43362336,11.36366294,6
Jambi,Pulai,Alssch,313,360,515,36.7,3.146426545,4.1,2.1,5,4,Yes,open,75.09617163,85.01149721,11.68197282,6.2
Jambi,Pulai,Alssch,313,360,515,19,3.098386677,1.5,5.5,1,2,No,high,41.09762027,30.15928947,6.047887837,7
Jambi,Pulai,Alssch,313,360,515,61.4,6.348228099,3.4,7.2,2,4,No,high,179.7858779,286.9740169,19.54422701,10.6
Jambi,Pulai,Alssch,313,360,515,22.8,3.3,2.1,3,1,4,No,high,52.59884286,47.8967216,7.257465405,5.1
Jambi,Pulai,Alssch,313,360,515,150,8.732697178,11.5,5,5,4,Yes,open,583.0993318,1836.763561,47.74648293,16.5
Jambi,Pulai,Alssch,313,360,515,102.62,5.175905718,8.3,5.5,5,4,Yes,open,239.1030956,465.7034118,32.66496052,13.8
Jambi,Pulai,Alssch,313,360,515,116,7.082372484,10.8,6.8,5,3,Yes,open,429.9119679,1134.59247,36.9239468,17.6
Jambi,Pulai,Alssch,313,360,515,142.84,7.441773982,12.2,6.8,5,5,Yes,open,503.2420784,1415.048729,45.46738414,19
Jambi,Pulai,Alssch,313,360,515,146,7.141428429,9,9,5,4,Yes,open,377.2996929,961.327352,46.47324338,18
Jambi,Pulai,Alssch,313,360,515,165,9.597916441,8,8.5,5,4,Yes,open,515.7472102,1543.485415,52.52113122,16.5
Jambi,Pulai,Alssch,313,360,515,107,6.79337913,6.5,6,5,4,Yes,open,281.6575599,628.2661708,34.05915782,12.5
Jambi,Pulai,Alssch,313,360,515,112.5,7.501999733,8.9,4.4,5,5,Yes,open,398.2888659,1049.065752,35.8098622,13.3
Jambi,Pulai,Alssch,313,360,515,91.7,6.7,9.2,5,5,5,Yes,open,354.3736513,864.9600445,29.18901656,14.2
Jambi,Pulai,Alssch,313,360,515,101,6.727555277,7.2,6.3,2,4,No,high,297.7805005,682.5047208,32.1492985,13.5
Jambi,Pulai,Alssch,313,360,515,76.3,5.296225071,6.8,4.5,2,4,No,high,210.4195747,399.4849218,24.28704432,11.3
Jambi,Pulai,Alssch,313,360,515,39.6,4,4.8,3.7,1,3,No,high,114.175732,160.8495439,12.60507149,8.5
Jambi,Pulai,Alssch,313,360,515,41.6,4.489988864,3.5,4.3,1,3,No,high,108.5196056,147.7805184,13.24169127,7.8
Jambi,Pulai,Alssch,313,360,515,40,3.847076812,3.9,3.6,1,3,No,high,93.8451425,120.8884853,12.73239545,7.5
Jambi,Pulai,Alssch,313,360,515,87.7,6.249799997,6.9,5.3,2,4,No,high,262.610029,564.4688016,27.91577702,12.2
Jambi,Pulai,Alssch,313,360,515,71,5.556077753,7.8,4.2,4,4,No,low,247.9001409,504.3010191,22.60000192,12
Jambi,Pulai,Alssch,313,360,515,73.1,4.042276586,6.5,4.2,3,4,No,low,146.1622913,222.4457038,23.26845268,10.7
Jambi,Pulai,Alssch,313,360,515,94.7,7.199305522,9,5,3,4,No,low,381.1486659,976.9724834,30.14394622,14
Jambi,Pulai,Alssch,313,360,515,88.2,4.935585072,5.5,10,4,4,No,low,164.8524465,280.6070558,28.07493196,15.5
