"spdataset","dataset","species","age","dbh","sapbh","sapcb","h_t","h_c","cw","m_lf","a_lf","wbr","m_st","a_cs","SAcon","Vell","sp","authorname","reference","country","remark","a_cp","a_st","a_ss_dbh","a_ss_crownbase"
"Vanninen-PISY","Vanninen","PISY",NA,4.75,NA,14.86169675,5.65,3.4,1.05,0.498,NA,0.590192795,2.148425726,9.14205929718092,6.54010323817107,1.96271001033022,"Pinus sylvestris","L.","Vanninen 2004","Finland","",0.865901475145687,0.00177205460616549,NA,0.001486169675
"Vanninen-PISY","Vanninen","PISY",NA,7.1,NA,36.31681108,6.59,4.81,1.85,2.077,NA,3.324460297,5.710110602,23.1837587163286,16.9218738380951,8.61960085362371,"Pinus sylvestris","L.","Vanninen 2004","Finland","",2.68802521422777,0.00395919214168654,NA,0.003631681108
"Vanninen-PISY","Vanninen","PISY",NA,3.55,NA,8.552985999,5.1,3.23,1.15,0.265,NA,0.443064799,1.300781332,9.61231270656951,6.9651439100569,2.23664379975386,"Pinus sylvestris","L.","Vanninen 2004","Finland","",1.03868907109313,0.000989798035421634,NA,0.0008552985999
"Vanninen-PISY","Vanninen","PISY",NA,1.95,NA,2.986476516,3.34,1.94,0.75,0.065,NA,0.151539259,0.353559163,3.79261485852226,2.7696019872326,0.571377163871644,"Pinus sylvestris","L.","Vanninen 2004","Finland","",0.441786466911065,0.00029864765163188,NA,0.0002986476516
"Vanninen-PISY","Vanninen","PISY",NA,8.6,NA,55.41769441,7.48,5.39,1.75,1.795,NA,3.9590628,8.27264995,24.23740241181,17.4157825460983,8.64297953895417,"Pinus sylvestris","L.","Vanninen 2004","Finland","",2.40528187540469,0.00580880481648753,NA,0.005541769441
"Vanninen-PISY","Vanninen","PISY",NA,3,NA,5.515458602,4.42,2.35,1.1,0.146,NA,0.283075656,0.898210375,6.88012395125986,5.12056675969868,1.48885311841376,"Pinus sylvestris","L.","Vanninen 2004","Finland","",0.950331777710913,0.000706858347057703,NA,0.0005515458602
"Vanninen-PISY","Vanninen","PISY",NA,8.85,NA,50.89576448,7.35,4.91,3.2,2.542,NA,5.665336524,8.765076389,44.1001086346287,34.0001583039796,26.3257086790415,"Pinus sylvestris","L.","Vanninen 2004","Finland","",8.04247719318987,0.00615143476526966,NA,0.005089576448
"Vanninen-PISY","Vanninen","PISY",NA,1.9,NA,2.1382465,3.72,1.75,0.7,0.042,NA,0.195269892,0.378591882,3.20359995668099,2.34717777500548,0.448985950075541,"Pinus sylvestris","L.","Vanninen 2004","Finland","",0.38484510006475,0.000283528736986479,NA,0.00021382465
"Vanninen-PISY","Vanninen","PISY",NA,5.6,NA,24.6300864,5.32,3.49,1.55,0.711,NA,1.198711771,2.752900236,14.3066194896561,10.591128285576,4.39023174372845,"Pinus sylvestris","L.","Vanninen 2004","Finland","",1.88691908756237,0.0024630086404144,NA,0.00246300864
"Vanninen-PISY","Vanninen","PISY",NA,9.65,NA,58.76545408,7.2,4.66,2.6,3.567,NA,4.160438574,9.117064611,33.0676991541009,25.0677525970427,16.4941991893874,"Pinus sylvestris","L.","Vanninen 2004","Finland","",5.30929158456675,0.00731382404709789,NA,0.005876545408
"Vanninen-PISY","Vanninen","PISY",NA,6.2,NA,26.87828865,6.8,4.64,1.8,1.361,NA,1.607718903,3.99400923,21.7774441736667,15.9084934648897,7.87157455283459,"Pinus sylvestris","L.","Vanninen 2004","Finland","",2.54469004940773,0.00301907054009979,NA,0.002687828865
"Vanninen-PISY","Vanninen","PISY",NA,8.5,NA,56.74501731,6.45,5.2,2.95,2.497,NA,3.711721992,6.479334873,41.9810362635322,31.8815681003545,23.6944153921498,"Pinus sylvestris","L.","Vanninen 2004","Finland","",6.83492751696629,0.00567450173054657,NA,0.005674501731
"Vanninen-PISY","Vanninen","PISY",NA,9.95,NA,84.94866535,7.08,6.22,2.75,5.531,NA,7.5792509,10.32464632,45.214295576634,33.4567187693148,24.6294319056745,"Pinus sylvestris","L.","Vanninen 2004","Finland","",5.9395736106932,0.00777563816717559,NA,0.008494866535
"Vanninen-PISY","Vanninen","PISY",NA,4.2,NA,13.8544236,4.98,3.8,1.45,1.113,NA,0.942527143,1.558988629,14.3449872624788,10.4625047003171,4.18329241764261,"Pinus sylvestris","L.","Vanninen 2004","Finland","",1.65129963854314,0.0013854423602331,NA,0.00138544236
"Vanninen-PISY","Vanninen","PISY",NA,6.1,NA,24.6300864,5.86,3.68,2,0.918,NA,1.587161042,3.292762176,20.003764494489,15.1218987866734,7.70737397680696,"Pinus sylvestris","L.","Vanninen 2004","Finland","",3.14159265358979,0.0029224665660019,NA,0.00246300864
"Vanninen-PISY","Vanninen","PISY",NA,11.8,NA,128.6796351,7.21,6.31,4.1,10.608,NA,15.48520481,14.43746259,72.5703898610352,55.9314563148306,55.5386980863647,"Pinus sylvestris","L.","Vanninen 2004","Finland","",13.2025431267111,0.0109358840271461,NA,0.01286796351
"Vanninen-PISY","Vanninen","PISY",NA,8.1,NA,47.78362426,6.7,5,3.1,3.485,NA,4.071300067,6.886469486,43.0873975333764,33.0380771440492,25.1589211674983,"Pinus sylvestris","L.","Vanninen 2004","Finland","",7.54767635024948,0.00515299735005066,NA,0.004778362426
"Vanninen-PISY","Vanninen","PISY",NA,7.7,NA,50.26548246,5.66,4.84,2,2.635,NA,2.607612573,5.013453465,25.3986619881678,18.6680542356518,10.1368722955831,"Pinus sylvestris","L.","Vanninen 2004","Finland","",3.14159265358979,0.00465662571078347,NA,0.005026548246
"Vanninen-PISY","Vanninen","PISY",NA,5,NA,11.94590607,7.96,4.23,1.15,0.34,NA,1.402378864,3.904817252,12.363626558676,8.75010114044845,2.92910318048261,"Pinus sylvestris","L.","Vanninen 2004","Finland","",1.03868907109313,0.00196349540849362,NA,0.001194590607
"Vanninen-PISY","Vanninen","PISY",NA,4.6,NA,14.18625433,7.16,4.79,1.5,0.445,NA,2.210834109,3.189607176,18.4163269969229,13.1908262764809,5.64308580401067,"Pinus sylvestris","L.","Vanninen 2004","Finland","",1.76714586764426,0.001661902513749,NA,0.001418625433
"Vanninen-PISY","Vanninen","PISY",NA,14.85,NA,65.75549774,17.35,4.98,2.45,2.966,NA,33.0896,75.90865689,32.6848632876577,24.4509506143985,15.6516502196334,"Pinus sylvestris","L.","Vanninen 2004","Finland","",4.71435247579318,0.0173197966487814,NA,0.006575549774
"Vanninen-PISY","Vanninen","PISY",NA,14.45,NA,80.91368229,19.11,7.97,2.15,5.421,NA,21.708975,78.97835463,43.5338072026498,30.7906224698458,19.290072661419,"Pinus sylvestris","L.","Vanninen 2004","Finland","",3.6305030103047,0.0163993100012796,NA,0.008091368229
"Vanninen-PISY","Vanninen","PISY",NA,6.75,NA,28.74753628,6.76,4.37,2.15,1.159,NA,1.1752,5.159325758,25.1694590929495,18.8289049381287,10.5768654366877,"Pinus sylvestris","L.","Vanninen 2004","Finland","",3.6305030103047,0.00357847038197962,NA,0.002874753628
"Vanninen-PISY","Vanninen","PISY",NA,6.05,NA,28.74753628,5.62,4.31,1.95,1.447,NA,1.058701856,3.359579811,22.2761182801691,16.5218172621513,8.58114252355601,"Pinus sylvestris","L.","Vanninen 2004","Finland","",2.9864765163188,0.00287475362757551,NA,0.002874753628
