Species,Tree #,Height (m),D1.10,Crown width (m),Ave Leaf Height (m),Lowest leaf height (m),Crown length
Ocotea hartshorniana,14,33.5,38.8,9.3,31.5,29.5,
Ocotea hartshorniana,15,21.8,19.9,8.25,19.3,16.5,
Ocotea hartshorniana,16,3.28,1.92,1.89,2.46,1.08,
Ocotea hartshorniana,17,0.99,0.9,0.62,0.89,0.55,
Ocotea hartshorniana,18,1.88,1.07,1.17,1.61,1.25,
Ocotea hartshorniana,19,2.04,1.44,0.94,1.78,1.35,
Ocotea hartshorniana,20,33,46.9,11.35,30.7,28,
Ocotea hartshorniana,21,3.55,2.18,1.7,3.1,2.1,
Ocotea hartshorniana,22,5,3.34,3.09,3.95,2.25,
Ocotea hartshorniana,23,2.09,1.1,1.67,1.77,1.36,
Ocotea hartshorniana,24,2.28,1.32,1.06,2.96,1.72,
Ocotea meziana,1,1.38,0.975,0.7,1.08,0.42,
Ocotea meziana,2,3.55,2.64,1.68,3.18,2.85,
Ocotea meziana,3,2.68,1.82,0.2,2.18,1.58,
Ocotea meziana,4,9.1,8.37,4.38,7.4,5.6,
Ocotea meziana,5,10.8,13.7,6.65,8.6,5.25,
Ocotea meziana,6,8.25,7.84,4.55,6.85,3.85,
Ocotea meziana,7,1.63,1.02,0.525,1.48,1.3,
Ocotea meziana,8,7.7,6.18,3.85,7,6,
Ocotea meziana,9,5.55,5.49,3.52,4.5,3.25,
Ocotea meziana,10,8.2,6.39,4.45,6.75,4.8,
Ocotea meziana,11,12.9,20.2,7.95,10.6,7.5,
Ocotea meziana,12,10.1,7.52,5.4,7.85,5.25,
Ocotea meziana,13,8.8,11.7,5.95,7.5,4.9,
Ocotea meziana,14,8,7.76,4.9,5.4,2.2,
Ocotea meziana,15,5.8,3.83,3.2,4.5,3,
Ocotea meziana,16,2.05,1.345,1.14,1.5,0.84,
Ocotea meziana,17,3,1.94,1.64,2.5,1.7,
Ocotea meziana,18,10.1,11.1,4.8,8.1,6.1,
Ocotea meziana,19,11.5,15.6,8.05,8.8,4,
Ocotea meziana,20,5,3.05,1.95,4.35,2.7,
Ocotea meziana,21,14.15,18.6,8.1,10,4.3,
Ocotea meziana,22,13.7,18.1,8.15,10.6,7.4,
Ocotea meziana,23,12.6,11.9,7.3,10.2,6.5,
Ocotea meziana,24,7.7,6.87,3.8,6.5,5.3,
Ocotea meziana,25,17.6,26.3,9.25,12.45,6.2,
Ocotea meziana,26,1.1,0.8,0.46,0.96,0.74,
Ocotea meziana,27,1.68,0.95,0.645,1.4,1.18,
Ocotea meziana,28,2.5,1.64,1.45,2.07,1.32,
Pentaclethra macroloba,,4.8,2.84,1.39,4.3,3.5,1.3
Pentaclethra macroloba,,5.8,4.24,2.9,4.8,3.2,2.6
Pentaclethra macroloba,,1.46,0.85,0.51,1.43,1.36,0.1
Pentaclethra macroloba,,5.95,3.18,2.68,4.55,3.2,2.75
Pentaclethra macroloba,,3.35,1.975,0.9,2.95,2.48,0.87
Pentaclethra macroloba,,1.15,0.84,0.67,0.99,0.72,0.43
Pentaclethra macroloba,,2.71,2.03,1.36,2.28,1.95,0.76
Pentaclethra macroloba,,9,7.145,3.87,6.75,4.6,4.4
Pentaclethra macroloba,,8.9,6.4,3.29,7.05,3.7,5.2
