species,family,Time ,light level,SLA (cm2 g-1),Leaf biomass (g),Stem biomass (g),Root biomass (g),Initial height (cm),Final height (cm),leafbiomass_fixed,leafmassproblem
Citharexylum mocinnii,Verbenaceae,1,a,243.33,0.898,0.029,0.073,6.8,9.4,0.1857,
Citharexylum mocinnii,Verbenaceae,1,a,285.79,0.859,0.028,0.114,5,8,0.0697,
Citharexylum mocinnii,Verbenaceae,1,a,232.23,0.934,0.035,0.099,6.2,8.3,0.0742,
Citharexylum mocinnii,Verbenaceae,1,a,241.01,0.865,0.029,0.037,6,8.9,0.0546,
Citharexylum mocinnii,Verbenaceae,1,a,206.41,0.943,0.031,0.088,6,8,0.0741,y
Citharexylum mocinnii,Verbenaceae,1,a,335.31,0.961,0.012,0.027,4,4.7,0.0217,
Citharexylum mocinnii,Verbenaceae,1,a,264.31,0.853,0.021,0.013,3.5,7.2,0.674,
Citharexylum mocinnii,Verbenaceae,1,a,237.68,0.889,0.027,0.074,5,9.4,0.0884,
Citharexylum mocinnii,Verbenaceae,1,a,335.71,0.115,0.033,0.141,6.5,9.5,0.115,
Citharexylum mocinnii,Verbenaceae,1,a,0,0,0,0,6,0,0,
Citharexylum mocinnii,Verbenaceae,2,a,210.33,0.923,0.031,0.047,6,7.6,0.058,
Citharexylum mocinnii,Verbenaceae,2,a,184.16,0.836,0.067,0.102,6.5,9.5,0.836,
Citharexylum mocinnii,Verbenaceae,2,a,249.43,0.921,0.026,0.093,5,8,0.921,
Citharexylum mocinnii,Verbenaceae,2,a,199.85,0.936,0.024,0.04,5,6,0.936,
Citharexylum mocinnii,Verbenaceae,2,a,210.9,0.742,0.029,0.259,5,10,0.742,
Citharexylum mocinnii,Verbenaceae,2,a,208.58,0.854,0.053,0.095,5,9.2,0.854,
Citharexylum mocinnii,Verbenaceae,2,a,257.01,0.112,0.039,0.131,5,9,0.112,
Citharexylum mocinnii,Verbenaceae,2,a,317.92,0.756,0.049,0.183,7,11,0.756,
Citharexylum mocinnii,Verbenaceae,2,a,263.25,0.804,0.024,0.173,4,6.5,0.804,
Citharexylum mocinnii,Verbenaceae,2,a,0,0,0,0,6.5,0,0,
Citharexylum mocinnii,Verbenaceae,3,a,255.4,0.684,0.051,0.139,5,12,0.684,
Citharexylum mocinnii,Verbenaceae,3,a,289.44,0.769,0.065,0.196,5,14.5,0.769,
Citharexylum mocinnii,Verbenaceae,3,a,243.01,0.726,0.081,0.193,5.5,14.6,0.726,
Citharexylum mocinnii,Verbenaceae,3,a,272.13,0.684,0.064,0.255,5,13.5,0.684,
Citharexylum mocinnii,Verbenaceae,3,a,192.9,0.688,0.085,0.326,9,12.5,0.688,
Citharexylum mocinnii,Verbenaceae,3,a,322.62,0.964,0.048,0.189,7,15,0.254,
Citharexylum mocinnii,Verbenaceae,3,a,291.54,0.947,0.046,0.118,5.2,13.2,0.947,
Citharexylum mocinnii,Verbenaceae,3,a,218.53,0.489,0.076,0.336,6.5,14,0.489,
Citharexylum mocinnii,Verbenaceae,3,a,204.28,0.574,0.1,0.227,4.5,12.5,0.574,
Citharexylum mocinnii,Verbenaceae,3,a,0,0,0,0,5.5,0,0,
Citharexylum mocinnii,Verbenaceae,4,a,272.1,0.695,0.051,0.249,5,11,0.695,
Citharexylum mocinnii,Verbenaceae,4,a,372.88,0.707,0.064,0.121,4.5,13,0.707,
Citharexylum mocinnii,Verbenaceae,4,a,274.28,0.776,0.081,0.188,4.5,4,0.776,
Citharexylum mocinnii,Verbenaceae,4,a,227.68,0.531,0.064,0.104,6.5,10,0.531,
Citharexylum mocinnii,Verbenaceae,4,a,301.2,0.403,0.085,0.405,5,26,0.403,
Citharexylum mocinnii,Verbenaceae,4,a,294.72,0.504,0.047,0.276,3.5,17,0.504,
Citharexylum mocinnii,Verbenaceae,4,a,247.29,0.429,0.046,0.412,6,22,0.429,
Citharexylum mocinnii,Verbenaceae,4,a,330.14,0.428,0.076,0.378,5.5,6.5,0.428,
Citharexylum mocinnii,Verbenaceae,4,a,309.71,0.531,0.099,0.291,5,23.8,0.531,
Citharexylum mocinnii,Verbenaceae,4,a,275.66,0.128,0.032,0.592,4,9,0.128,
Citharexylum mocinnii,Verbenaceae,5,a,135.35,0.146,0.449,0.404,5.5,43.5,0.146,
Citharexylum mocinnii,Verbenaceae,5,a,424.37,0.433,0.253,0.271,6.5,36,0.433,
Citharexylum mocinnii,Verbenaceae,5,a,258.94,0.125,0.571,0.283,7,40,0.125,
Citharexylum mocinnii,Verbenaceae,5,a,265.58,0.602,0.995,0.668,6,48,0.602,
Citharexylum mocinnii,Verbenaceae,5,a,378.96,0.859,0.023,0.018,5.5,11.5,0.859,
Citharexylum mocinnii,Verbenaceae,5,a,347.26,0.658,0.142,0.191,5,19,0.658,
Citharexylum mocinnii,Verbenaceae,5,a,306.42,0.128,0.434,0.436,5.5,19,0.128,
Citharexylum mocinnii,Verbenaceae,5,a,287.76,0.471,0.134,0.294,6.5,44,0.471,
Citharexylum mocinnii,Verbenaceae,5,a,382.52,0.768,0.096,0.146,5.5,18,0.768,
Citharexylum mocinnii,Verbenaceae,5,a,362.29,0.728,0.119,0.135,4.2,26,0.728,
Citharexylum mocinnii,Verbenaceae,1,b,267.17,0.947,0.029,0.048,5.4,44.2,0.0539,
Citharexylum mocinnii,Verbenaceae,1,b,214.59,0.946,0.021,0.053,5.3,22.5,0.0245,y
Citharexylum mocinnii,Verbenaceae,1,b,190.77,0.944,0.008,0.036,4.5,51.4,0.944,
Citharexylum mocinnii,Verbenaceae,1,b,138.49,0.942,0.028,0.037,5.5,30.1,0.038,y
Citharexylum mocinnii,Verbenaceae,1,b,107.69,0.942,0.031,0.025,5,56.5,0.047,y
Citharexylum mocinnii,Verbenaceae,1,b,188.29,0.949,0.025,0.089,5.5,15.2,0.071,
Citharexylum mocinnii,Verbenaceae,1,b,179.5,0.948,0.026,0.063,7.4,52.1,0.608,
Citharexylum mocinnii,Verbenaceae,1,b,101.45,0.944,0.025,0.048,4.6,20.1,0.094,y
Citharexylum mocinnii,Verbenaceae,1,b,200.99,0.951,0.036,0.072,5.5,13.5,0.088,
Citharexylum mocinnii,Verbenaceae,1,b,254.76,0.951,0.024,0.072,5,3.9,0.848,
Citharexylum mocinnii,Verbenaceae,2,b,173.43,0.952,0.043,0.123,4.5,5.3,0.106,
Citharexylum mocinnii,Verbenaceae,2,b,242.44,0.056,0.028,0.248,4.8,5.6,0.056,
Citharexylum mocinnii,Verbenaceae,2,b,228.1,0.025,0.028,0.062,6,7.8,0.025,
Citharexylum mocinnii,Verbenaceae,2,b,175.51,0.206,0.071,0.146,5,7.4,0.206,
Citharexylum mocinnii,Verbenaceae,2,b,142.76,0.049,0.943,0.184,3.8,7.2,0.049,
Citharexylum mocinnii,Verbenaceae,2,b,173.75,0.067,0.021,0.117,6.2,7.3,0.067,
Citharexylum mocinnii,Verbenaceae,2,b,188.55,0.332,0.133,0.406,5.5,7.8,0.332,
Citharexylum mocinnii,Verbenaceae,2,b,217.05,0.066,0.032,0.162,5.5,14.6,0.066,
Citharexylum mocinnii,Verbenaceae,2,b,299.59,0.009,0.002,0.018,4.5,10.8,0.009,
Citharexylum mocinnii,Verbenaceae,2,b,210.13,0.174,0.053,0.251,5.5,7.5,0.174,
Citharexylum mocinnii,Verbenaceae,3,b,190.5,0.173,0.077,0.303,4.5,7.8,0.173,
Citharexylum mocinnii,Verbenaceae,3,b,103.62,0.453,0.05,0.475,4,6.5,0.453,
Citharexylum mocinnii,Verbenaceae,3,b,264.66,0.144,0.06,0.265,4.2,11.5,0.144,
Citharexylum mocinnii,Verbenaceae,3,b,332.66,0.099,0.031,0.197,3.5,9.6,0.099,
Citharexylum mocinnii,Verbenaceae,3,b,246.55,0.192,0.064,0.017,4.5,7.3,0.192,
Citharexylum mocinnii,Verbenaceae,3,b,215.52,0.217,0.061,0.135,3.5,8.4,0.217,
Citharexylum mocinnii,Verbenaceae,3,b,200.2,0.331,0.106,0.461,5.5,9.5,0.331,
Citharexylum mocinnii,Verbenaceae,3,b,146.73,0.087,0.166,0.031,6.4,10.3,0.087,
Citharexylum mocinnii,Verbenaceae,3,b,158.8,0.358,0.136,0.503,4.2,6.3,0.358,
Citharexylum mocinnii,Verbenaceae,3,b,136.5,0.239,0.032,0.056,5,12.3,0.239,
Citharexylum mocinnii,Verbenaceae,4,b,201.36,2.02,0.737,0.627,4.5,6.2,2.02,
Citharexylum mocinnii,Verbenaceae,4,b,289.8,0.981,0.175,0.239,4.5,6.9,0.039,
Citharexylum mocinnii,Verbenaceae,4,b,332.01,0.943,0.107,0.244,5.5,8.4,0.097,y
Citharexylum mocinnii,Verbenaceae,4,b,187.8,0.358,0.181,0.451,4.5,9.7,0.358,
Citharexylum mocinnii,Verbenaceae,4,b,286.13,1.92,0.075,0.325,4.5,7.8,1.92,
Citharexylum mocinnii,Verbenaceae,4,b,407.42,0.957,0.089,0.179,4,12.3,0.957,
Citharexylum mocinnii,Verbenaceae,4,b,256.23,0.643,0.557,0.247,4,5.7,0.643,
Citharexylum mocinnii,Verbenaceae,4,b,180.46,2.01,0.459,0.719,4.5,6.7,2.01,
Citharexylum mocinnii,Verbenaceae,4,b,194.65,1.06,0.072,0.293,5,11.5,1.06,
Citharexylum mocinnii,Verbenaceae,4,b,0,0,0,0,4.5,0,0,
Citharexylum mocinnii,Verbenaceae,5,b,206.7,1.36,0.765,1.59,5,35.2,1.36,
Citharexylum mocinnii,Verbenaceae,5,b,263.03,1.08,0.732,0.928,5,14.4,1.08,
Citharexylum mocinnii,Verbenaceae,5,b,451.34,1.11,0.364,1.74,3.8,28.9,1.11,
Citharexylum mocinnii,Verbenaceae,5,b,285.37,1.1,0.778,1.92,6.5,13.5,1.1,
Citharexylum mocinnii,Verbenaceae,5,b,341.78,3.67,0.387,0.943,6,28.3,3.67,
Citharexylum mocinnii,Verbenaceae,5,b,339.6,7.86,0.494,1.37,6.5,34.5,7.86,
Citharexylum mocinnii,Verbenaceae,5,b,171.71,8.17,2.71,7.49,5.5,22.6,8.17,
Citharexylum mocinnii,Verbenaceae,5,b,311.53,2.23,1.17,2.13,6,16,2.23,
Citharexylum mocinnii,Verbenaceae,5,b,199.3,2.43,0.54,3.35,5,6.5,2.43,
Citharexylum mocinnii,Verbenaceae,5,b,155.63,4.43,0.312,1.11,5,10.5,4.43,
Citharexylum mocinnii,Verbenaceae,1,c,173.9,0.951,0.042,0.157,5,7.9,0.084,
Citharexylum mocinnii,Verbenaceae,1,c,256.39,0.951,0.036,0.041,4.5,7.6,0.092,
Citharexylum mocinnii,Verbenaceae,1,c,218.11,0.881,0.011,0.108,4,5.9,0.881,
Citharexylum mocinnii,Verbenaceae,1,c,198.83,0.952,0.029,0.103,5.5,7.4,0.952,
Citharexylum mocinnii,Verbenaceae,1,c,209.01,0.95,0.03,0.13,5,7.3,0.95,
Citharexylum mocinnii,Verbenaceae,1,c,218.46,0.948,0.034,0.184,5.5,8.3,0.948,
Citharexylum mocinnii,Verbenaceae,1,c,191.51,0.946,0.038,0.055,7.5,10.1,0.041,y
Citharexylum mocinnii,Verbenaceae,1,c,263.85,0.945,0.011,0.033,3,4.8,0.036,y
Citharexylum mocinnii,Verbenaceae,1,c,0,0,0,0,4,0,0,
Citharexylum mocinnii,Verbenaceae,1,c,0,0,0,0,4.5,0,0,
Citharexylum mocinnii,Verbenaceae,2,c,215.74,0.21,0.068,0.517,5.5,7,0.21,
Citharexylum mocinnii,Verbenaceae,2,c,159.08,0.848,0.046,0.107,6.5,9,0.848,
Citharexylum mocinnii,Verbenaceae,2,c,208.29,0.965,0.098,0.239,6.5,10.5,0.227,
Citharexylum mocinnii,Verbenaceae,2,c,196.97,0.851,0.048,0.102,4,4.5,0.851,
Citharexylum mocinnii,Verbenaceae,2,c,213.46,0.161,0.058,0.209,7,10,0.161,
Citharexylum mocinnii,Verbenaceae,2,c,193.71,0.094,0.046,0.092,4,8,0.094,
Citharexylum mocinnii,Verbenaceae,2,c,0,0,0,0,3.5,0,0,
Citharexylum mocinnii,Verbenaceae,2,c,0,0,0,0,4,0,0,
Citharexylum mocinnii,Verbenaceae,2,c,0,0,0,0,5,0,0,
Citharexylum mocinnii,Verbenaceae,2,c,0,0,0,0,3,0,0,
Citharexylum mocinnii,Verbenaceae,3,c,366.36,0.059,0.054,0.13,7,7,0.059,
Citharexylum mocinnii,Verbenaceae,3,c,198.27,0.183,0.077,0.244,5,10,0.183,
Citharexylum mocinnii,Verbenaceae,3,c,306.44,0.263,0.083,0.21,4,14,0.263,
Citharexylum mocinnii,Verbenaceae,3,c,264.37,0.216,0.073,0.515,7.5,12.3,0.216,
Citharexylum mocinnii,Verbenaceae,3,c,273.06,0.192,0.083,0.448,4,11,0.192,
Citharexylum mocinnii,Verbenaceae,3,c,356.97,0.208,0.089,0.175,4,12,0.208,
Citharexylum mocinnii,Verbenaceae,3,c,289.57,0.182,0.093,0.382,4.5,11,0.182,
Citharexylum mocinnii,Verbenaceae,3,c,290.45,0.055,0.109,0.835,6,13,0.055,
Citharexylum mocinnii,Verbenaceae,3,c,398.58,0.26,0.21,0.531,6.3,14.1,0.26,
Citharexylum mocinnii,Verbenaceae,3,c,0,0,0,0,4.6,0,0,
Citharexylum mocinnii,Verbenaceae,4,c,352.12,0.713,0.118,0.172,3,15,0.713,
Citharexylum mocinnii,Verbenaceae,4,c,306.43,0.422,0.053,0.131,4.5,10,0.422,
Citharexylum mocinnii,Verbenaceae,4,c,261.74,0.976,0.134,0.345,5,18.5,0.976,
Citharexylum mocinnii,Verbenaceae,4,c,283.28,0.998,0.249,0.678,5.5,28,0.998,
Citharexylum mocinnii,Verbenaceae,4,c,109.33,1.99,0.435,0.525,3.5,13.5,1.99,
Citharexylum mocinnii,Verbenaceae,4,c,234.35,0.312,0.128,0.561,4,40.3,0.312,
Citharexylum mocinnii,Verbenaceae,4,c,279.91,0.858,0.065,0.06,4.2,10.3,0.858,
Citharexylum mocinnii,Verbenaceae,4,c,0,0,0,0,3.5,0,0,
Citharexylum mocinnii,Verbenaceae,4,c,0,0,0,0,4.5,0,0,
Citharexylum mocinnii,Verbenaceae,4,c,0,0,0,0,3.5,0,0,
Citharexylum mocinnii,Verbenaceae,5,c,306.93,1.04,0.435,0.573,5.5,51,1.04,
Citharexylum mocinnii,Verbenaceae,5,c,131.65,1.134,0.797,1.42,6,54.1,1.134,
Citharexylum mocinnii,Verbenaceae,5,c,639.46,0.432,0.168,0.401,4,25.5,0.432,
Citharexylum mocinnii,Verbenaceae,5,c,280.53,0.829,0.736,1.09,5,56.5,0.829,
Citharexylum mocinnii,Verbenaceae,5,c,341.58,0.049,0.175,0.776,6,31,0.049,
Citharexylum mocinnii,Verbenaceae,5,c,334.59,1.96,1.06,1.84,4.5,66.5,1.96,
Citharexylum mocinnii,Verbenaceae,5,c,230.47,0.999,0.125,0.612,3.5,15.2,0.999,
Citharexylum mocinnii,Verbenaceae,5,c,277.87,2.04,2.02,2.59,8.5,59.5,2.04,
Citharexylum mocinnii,Verbenaceae,5,c,242.59,1.01,0.165,0.511,4,22.2,1.01,
Citharexylum mocinnii,Verbenaceae,5,c,199.12,2.09,0.216,0.566,4,15.5,2.09,
Citharexylum mocinnii,Verbenaceae,1,d,188.88,0.821,0.03,0.167,4.5,4.2,0.821,
Citharexylum mocinnii,Verbenaceae,1,d,128.02,0.949,0.238,0.154,3,3.7,0.949,
Citharexylum mocinnii,Verbenaceae,1,d,171.96,0.713,0.02,0.049,6,6,0.713,
Citharexylum mocinnii,Verbenaceae,1,d,197.03,0.95,0.021,0.067,3,6.8,0.95,
Citharexylum mocinnii,Verbenaceae,1,d,162.4,0.905,0.039,0.073,4.5,8,0.905,
Citharexylum mocinnii,Verbenaceae,1,d,148.6,0.952,0.024,0.107,4,8.9,0.952,
Citharexylum mocinnii,Verbenaceae,1,d,138.87,0.951,0.009,0.125,5,7.3,0.951,
Citharexylum mocinnii,Verbenaceae,1,d,239.67,0.945,0.009,0.019,3.5,4.6,0.028,y
Citharexylum mocinnii,Verbenaceae,1,d,0,0,0,0,4.5,0,0,
Citharexylum mocinnii,Verbenaceae,1,d,0,0,0,0,3.5,0,0,
Citharexylum mocinnii,Verbenaceae,2,d,176.81,0.706,0.057,0.184,6,7.7,0.706,
Citharexylum mocinnii,Verbenaceae,2,d,164.87,0.139,0.054,0.125,5,8,0.139,
Citharexylum mocinnii,Verbenaceae,2,d,175.78,0.103,0.047,0.202,4.5,7,0.103,
Citharexylum mocinnii,Verbenaceae,2,d,146.78,0.367,0.147,0.199,7,12,0.367,
Citharexylum mocinnii,Verbenaceae,2,d,144.05,0.193,0.097,0.089,6,10,0.193,
Citharexylum mocinnii,Verbenaceae,2,d,164.54,0.129,0.041,0.241,5,8.3,0.129,
Citharexylum mocinnii,Verbenaceae,2,d,175.03,0.188,0.079,0.232,4,9.1,0.188,
Citharexylum mocinnii,Verbenaceae,2,d,179.82,0.235,0.074,0.399,5,10,0.235,
Citharexylum mocinnii,Verbenaceae,2,d,151.55,0.345,0.122,0.147,5,10.5,0.345,
Citharexylum mocinnii,Verbenaceae,2,d,140.18,0.106,0.047,0.247,5.5,7.5,0.106,
Citharexylum mocinnii,Verbenaceae,3,d,115.93,0.512,0.197,0.638,5.5,13,0.512,
Citharexylum mocinnii,Verbenaceae,3,d,200.03,0.247,0.114,0.604,7,5.5,0.247,
Citharexylum mocinnii,Verbenaceae,3,d,180.25,0.153,0.076,1.11,6.5,8.3,0.153,
Citharexylum mocinnii,Verbenaceae,3,d,160.24,0.553,0.25,0.338,5,17,0.553,
Citharexylum mocinnii,Verbenaceae,3,d,203.65,0.607,0.097,0.408,5.5,10,0.607,
Citharexylum mocinnii,Verbenaceae,3,d,208.21,0.174,0.055,0.122,4,8.8,0.174,
Citharexylum mocinnii,Verbenaceae,3,d,664.09,0.835,0.042,0.21,4.5,14.8,0.835,
Citharexylum mocinnii,Verbenaceae,3,d,195.43,0.566,0.031,0.21,5,6,0.566,
Citharexylum mocinnii,Verbenaceae,3,d,0,0,0,0,5.5,0,0,
Citharexylum mocinnii,Verbenaceae,3,d,0,0,0,0,4.5,0,0,
Citharexylum mocinnii,Verbenaceae,4,d,0,0,0,0,4.5,0,0,
Citharexylum mocinnii,Verbenaceae,4,d,173.8,0.103,0.68,0.338,4,46,0.103,
Citharexylum mocinnii,Verbenaceae,4,d,166.57,0.101,0.765,0.114,4,15,0.101,
Citharexylum mocinnii,Verbenaceae,4,d,173.95,0.106,0.963,1.57,4.5,48.5,0.106,
Citharexylum mocinnii,Verbenaceae,4,d,147.96,0.109,2.09,1.61,5,15.5,0.109,
Citharexylum mocinnii,Verbenaceae,4,d,150.42,0.209,0.502,0.951,4.5,30,0.209,
Citharexylum mocinnii,Verbenaceae,4,d,166.6,0.103,1.57,1.55,5,41.5,0.103,
Citharexylum mocinnii,Verbenaceae,4,d,192.93,0.958,0.313,0.917,5,26,0.145,
Citharexylum mocinnii,Verbenaceae,4,d,217.5,0.971,0.552,1.19,3.8,39.5,0.272,
Citharexylum mocinnii,Verbenaceae,4,d,167.21,0.026,0.173,0.8,6.5,21.5,0.026,
Citharexylum mocinnii,Verbenaceae,5,d,109.44,0.047,0.066,0.457,6,45,0.047,
Citharexylum mocinnii,Verbenaceae,5,d,195.15,0.606,0.138,0.053,5,65,0.606,
Citharexylum mocinnii,Verbenaceae,5,d,0,0,0,0,5,0,0,
Citharexylum mocinnii,Verbenaceae,5,d,0,0,0,0,4,0,0,
Citharexylum mocinnii,Verbenaceae,5,d,0,0,0,0,4,0,0,
Citharexylum mocinnii,Verbenaceae,5,d,0,0,0,0,5,0,0,
Citharexylum mocinnii,Verbenaceae,5,d,0,0,0,0,5,0,0,
Citharexylum mocinnii,Verbenaceae,5,d,0,0,0,0,5.2,0,0,
Citharexylum mocinnii,Verbenaceae,5,d,0,0,0,0,5.3,0,0,
Citharexylum mocinnii,Verbenaceae,5,d,0,0,0,0,5,0,0,
Dendropanax arboreus,Araliaceae,1,a,241.1,0.946,0.025,0.039,6.5,7.7,0.043,y
Dendropanax arboreus,Araliaceae,1,a,304.96,0.943,0.023,0.016,4,7.2,0.076,y
Dendropanax arboreus,Araliaceae,1,a,319.05,0.947,0.022,0.03,5.5,8,0.947,
Dendropanax arboreus,Araliaceae,1,a,277.1,0.946,0.03,0.031,5.5,7.2,0.051,y
Dendropanax arboreus,Araliaceae,1,a,325.22,0.943,0.015,0.015,5,6.4,0.014,y
Dendropanax arboreus,Araliaceae,1,a,258.87,0.944,0.028,0.017,5.5,8.5,0.02,y
Dendropanax arboreus,Araliaceae,1,a,216.92,0.946,0.023,0.012,3.2,6.2,0.042,y
Dendropanax arboreus,Araliaceae,1,a,287.87,0.946,0.024,0.03,5,6.9,0.037,y
Dendropanax arboreus,Araliaceae,1,a,190.02,0.943,0.017,0.015,4,5.4,0.097,y
Dendropanax arboreus,Araliaceae,1,a,294.54,0.945,0.023,0.021,4,7.1,0.028,y
Dendropanax arboreus,Araliaceae,2,a,204.78,0.942,0.015,0.021,3.5,4.5,0.0789,y
Dendropanax arboreus,Araliaceae,2,a,144.15,0.943,0.017,0.014,4.8,5.5,0.1099,y
Dendropanax arboreus,Araliaceae,2,a,284.35,0.952,0.055,0.053,6,6.6,0.966,
Dendropanax arboreus,Araliaceae,2,a,300.84,0.952,0.055,0.033,4.5,5.3,0.952,
Dendropanax arboreus,Araliaceae,2,a,330.75,0.953,0.058,0.058,5.5,7,0.953,
Dendropanax arboreus,Araliaceae,2,a,307.64,0.951,0.043,0.045,4,5.5,0.951,
Dendropanax arboreus,Araliaceae,2,a,309.13,0.949,0.035,0.04,5,5.2,0.949,
Dendropanax arboreus,Araliaceae,2,a,277.35,0.948,0.032,0.039,4,6,0.948,
Dendropanax arboreus,Araliaceae,2,a,304.9,0.95,0.046,0.075,5,5.3,0.95,
Dendropanax arboreus,Araliaceae,2,a,303.91,0.948,0.04,0.044,6,7,0.948,
Dendropanax arboreus,Araliaceae,3,a,343.4,0.065,0.038,0.082,3.5,6,0.065,
Dendropanax arboreus,Araliaceae,3,a,268.46,0.111,0.043,0.891,6,8,0.111,
Dendropanax arboreus,Araliaceae,3,a,327.82,0.16,0.044,0.077,5,7.5,0.16,
Dendropanax arboreus,Araliaceae,3,a,352.22,0.093,0.044,0.074,5,7.5,0.093,
Dendropanax arboreus,Araliaceae,3,a,305.52,0.136,0.057,0.128,5.5,7.5,0.136,
Dendropanax arboreus,Araliaceae,3,a,375.15,0.096,0.032,0.046,4.2,7.1,0.096,
Dendropanax arboreus,Araliaceae,3,a,350.11,0.125,0.044,0.045,7.2,6.5,0.125,
Dendropanax arboreus,Araliaceae,3,a,415.2,0.132,0.041,0.043,4,8.5,0.132,
Dendropanax arboreus,Araliaceae,3,a,405.35,0.019,0.017,0.024,5.1,8.5,0.019,
Dendropanax arboreus,Araliaceae,3,a,0,0,0,0,3.5,0,0,
Dendropanax arboreus,Araliaceae,4,a,327.26,0.967,0.09,0.099,3,9,0.967,
Dendropanax arboreus,Araliaceae,4,a,312.5,0.964,0.05,0.119,6,10.5,0.964,
Dendropanax arboreus,Araliaceae,4,a,281.3,0.963,0.101,0.168,5,8,0.963,
Dendropanax arboreus,Araliaceae,4,a,365.08,0.983,0.086,0.137,5,10,0.983,
Dendropanax arboreus,Araliaceae,4,a,350.33,0.972,0.064,0.122,4,9,0.972,
Dendropanax arboreus,Araliaceae,4,a,356.46,0.959,0.056,0.065,4,9,0.959,
Dendropanax arboreus,Araliaceae,4,a,379.06,0.981,0.212,0.154,6.5,18,0.981,
Dendropanax arboreus,Araliaceae,4,a,323.13,0.982,0.071,0.172,4.5,8,0.982,
Dendropanax arboreus,Araliaceae,4,a,298.68,0.975,0.086,0.185,4,8,0.975,
Dendropanax arboreus,Araliaceae,4,a,0,0,0,0,6.5,0,0,
Dendropanax arboreus,Araliaceae,5,a,371.49,0.879,0.034,0.088,5,8.2,0.879,
Dendropanax arboreus,Araliaceae,5,a,372.21,0.823,0.079,0.094,3.5,8.8,0.823,
Dendropanax arboreus,Araliaceae,5,a,337.2,0.564,0.238,0.187,4,14,0.564,
Dendropanax arboreus,Araliaceae,5,a,353.34,0.963,0.059,0.104,4,12,0.963,
Dendropanax arboreus,Araliaceae,5,a,323.36,0.626,0.144,0.239,5,19.5,0.626,
Dendropanax arboreus,Araliaceae,5,a,202.31,0.065,0.396,0.669,7,14,0.065,
Dendropanax arboreus,Araliaceae,5,a,311.97,0.469,0.193,0.318,4,9.5,0.469,
Dendropanax arboreus,Araliaceae,5,a,105.32,0.567,0.145,0.288,5,8.5,0.567,
Dendropanax arboreus,Araliaceae,5,a,320.37,0.921,0.044,0.075,4,10,0.921,
Dendropanax arboreus,Araliaceae,5,a,451.93,0.724,0.103,0.17,4,13.5,0.724,
Dendropanax arboreus,Araliaceae,1,b,209.52,1.02,1.67,1.36,4.5,6.8,1.02,
Dendropanax arboreus,Araliaceae,1,b,193.04,0.989,1.86,0.91,4.5,5.5,0.989,
Dendropanax arboreus,Araliaceae,1,b,244.69,1.02,1.11,0.974,4.2,5.3,1.02,
Dendropanax arboreus,Araliaceae,1,b,255.69,1.04,1.13,1.05,5,6.7,1.04,
Dendropanax arboreus,Araliaceae,1,b,245.13,0.513,2.45,2.58,4,5.1,0.513,
Dendropanax arboreus,Araliaceae,1,b,207.4,0.997,0.68,0.87,3.5,4.5,0.997,
Dendropanax arboreus,Araliaceae,1,b,292.19,1.04,1.13,2.15,4.5,6.7,1.04,
Dendropanax arboreus,Araliaceae,1,b,244.36,1.02,0.82,1.41,3.5,4.6,1.02,
Dendropanax arboreus,Araliaceae,1,b,373.86,1.04,1.86,0.913,4,4.9,1.04,
Dendropanax arboreus,Araliaceae,1,b,314.97,1.08,2.41,3.97,4.5,6.5,1.08,
Dendropanax arboreus,Araliaceae,2,b,188.47,2.32,1.29,1.77,2,5.5,2.32,
Dendropanax arboreus,Araliaceae,2,b,234.68,0.636,1.62,1.34,5,6.6,0.636,
Dendropanax arboreus,Araliaceae,2,b,220.86,1.12,1.46,1.97,4,6.5,1.12,
Dendropanax arboreus,Araliaceae,2,b,261.66,0.886,2.06,1.6,4,5.8,0.886,
Dendropanax arboreus,Araliaceae,2,b,197.47,0.725,1.12,1.78,5.5,6.3,0.725,
Dendropanax arboreus,Araliaceae,2,b,241.45,0.815,1.42,4.75,4.5,7.5,0.815,
Dendropanax arboreus,Araliaceae,2,b,268.38,1.34,3.66,1.28,3.5,5,1.34,
Dendropanax arboreus,Araliaceae,2,b,224.01,0.756,1.48,4.71,4,5.1,0.756,
Dendropanax arboreus,Araliaceae,2,b,302.46,0.696,5.22,0.923,6,7.2,0.696,
Dendropanax arboreus,Araliaceae,2,b,0,0,0,0,4,0,0,
Dendropanax arboreus,Araliaceae,3,b,239.26,0.945,1.54,2.84,4,5.3,0.054,y
Dendropanax arboreus,Araliaceae,3,b,352.45,0.529,1.4,2.06,4,6.5,0.529,
Dendropanax arboreus,Araliaceae,3,b,311.54,0.499,1.74,1.41,5,7.6,0.499,
Dendropanax arboreus,Araliaceae,3,b,410.82,0.269,1.52,1.85,6,8.1,0.269,
Dendropanax arboreus,Araliaceae,3,b,285.21,2.15,1.16,0.886,4,6.5,2.15,
Dendropanax arboreus,Araliaceae,3,b,148.3,0.22,2.42,2.59,4,6.1,0.22,
Dendropanax arboreus,Araliaceae,3,b,279.2,0.299,1.27,2.26,5,5.8,0.299,
Dendropanax arboreus,Araliaceae,3,b,290.13,0.451,1.73,2.43,4,5.3,0.451,
Dendropanax arboreus,Araliaceae,3,b,255.44,0.049,1.66,1.99,3,4.3,0.049,
Dendropanax arboreus,Araliaceae,3,b,0,0,0,0,3.5,0,0,
