spdataset,dataset,species,age,dbh,sapbh,sapcb,h_t,h_c,cw,m_lf,a_lf,wbr,m_st,a_cs,sitequal,socialclass,SAcon,Vell,sp,authorname,reference,country,remark,a_cp,a_st,a_ss_dbh,a_ss_crownbase
Reid-PICO,Reid,PICO,NA,6.5,21.93,NA,6.6,3.9,0.75,1.081928,6.30143128,NA,NA,7.331970872,poor,D,5.057556589,1.148644814,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.441786467,0.003318307,0.002193,NA
Reid-PICO,Reid,PICO,NA,6.7,24.49199403,NA,6.4,3.1,1.1,1.102364,7.30470504,NA,NA,8.82188804,poor,D,6.390397698,1.964019007,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.950331778,0.003525652,0.002449199,NA
Reid-PICO,Reid,PICO,NA,5.8,18.29616412,NA,5,3.6,0.94,0.767272,5.00811116,NA,NA,8.583014852,poor,D,6.054662507,1.665546761,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.693977817,0.002642079,0.001829616,NA
Reid-PICO,Reid,PICO,NA,10.2,61.64,NA,8.1,5,1.4,3.492173,23.0295408,NA,NA,17.81972798,poor,D,12.64218842,5.131268001,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,1.5393804,0.008171282,0.006164,NA
Reid-PICO,Reid,PICO,NA,8,36.47419228,NA,7.3,3.8,1.1,1.254057,9.39054856,NA,NA,10.66121275,poor,D,7.584677976,2.40750717,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.950331778,0.005026548,0.003647419,NA
Reid-PICO,Reid,PICO,NA,9.9,60.72991438,NA,8.5,4,1.45,1.858035,10.54441864,NA,NA,15.03172192,poor,D,10.9103581,4.403465703,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,1.651299639,0.007697687,0.006072991,NA
Reid-PICO,Reid,PICO,NA,7,32.67928948,NA,7.3,3.9,1.23,0.861236,5.3380486,NA,NA,12.30137993,poor,D,8.816450842,3.089395092,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,1.188228881,0.003848451,0.003267929,NA
Reid-PICO,Reid,PICO,NA,5.5,26.07543172,NA,7.1,3.8,0.85,1.339109,8.17858472,NA,NA,8.137454869,poor,D,5.672756103,1.437540438,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.567450173,0.002375829,0.002607543,NA
Reid-PICO,Reid,PICO,NA,7.1,31.53284016,NA,7.5,3.4,0.91,1.519969,10.02944776,NA,NA,7.857286779,poor,D,5.553757562,1.474213297,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.650388219,0.003959192,0.003153284,NA
Reid-PICO,Reid,PICO,NA,6,20.99149924,NA,5.9,3,1.02,1.384118,9.4336516,NA,NA,7.8896635,poor,D,5.692726214,1.634256498,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.817128249,0.002827433,0.00209915,NA
Reid-PICO,Reid,PICO,NA,6.1,19.55014011,NA,4.5,2.5,1.05,0.768956,5.28054484,NA,NA,6.899363001,poor,D,5.07918061,1.443169125,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.865901475,0.002922467,0.001955014,NA
Reid-PICO,Reid,PICO,NA,6.7,27.8999442,NA,6.5,3.9,1.08,0.875557,5.9641802,NA,NA,10.71585117,poor,D,7.595402959,2.381829886,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.916088418,0.003525652,0.002789994,NA
Reid-PICO,Reid,PICO,NA,8.1,40.10508108,NA,6.9,2.9,1.1,1.465258,9.00728928,NA,NA,8.300461566,poor,D,6.050493621,1.837308104,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.950331778,0.005152997,0.004010508,NA
Reid-PICO,Reid,PICO,NA,10.1,52.13602476,NA,7.8,3.8,1.8,1.461014,9.12396768,NA,NA,18.23248823,poor,D,13.5861704,6.446548125,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,2.544690049,0.008011847,0.005213602,NA
