Species,CO2,Temp,Water,Potnum,LeafDW,StemDW,RootDW,RootShoot,LMA,LA,Leafnum,LAR,Basaldia1,Basaldia2,Tipdia1,Tipdia2,Height,Branchnum,Mainstemnum,Primarybranchnum,Secondarybranchnum,Tertiarybranchnum,,,
Sideroxylon,280,Amb,dry,110,5.06,4.69,4.24,0.43,80.06,632,267,4.5,5.93,6.91,0.71,0.63,59,25,4,25,0,0,,,
Sideroxylon,280,Amb,dry,112,5.73,5.03,8.32,0.77,72.97,789,253,4.1,5.72,5.96,0.82,0.8,89,26,1,26,0,0,,,
Sideroxylon,280,Amb,dry,113,5.77,5.20,6.44,0.58,62.42,918,357,5.2,5.28,4.97,0.7,0.67,87,28,1,28,0,0,,,
Sideroxylon,280,Amb,dry,124,5.27,4.23,5.42,0.57,72.45,727,385,4.9,5.13,5.06,0.73,0.75,80,31,1,31,0,0,,,
Sideroxylon,280,Amb,dry,168,5.48,5.20,7.78,0.73,61.89,883,231,4.8,5.79,5.36,0.79,0.71,87,19,1,19,0,0,,,
Sideroxylon,280,Amb,dry,169,6.61,6.65,7.80,0.58,60.93,1085,308,5.1,5.65,5.62,0.55,0.62,83,29,1,25,4,0,,,
Sideroxylon,280,Amb,dry,176,1.72,1.84,1.06,0.30,65.67,262,167,5.6,3.09,3.53,0.59,0.66,57,9,3,9,0,0,,,
Sideroxylon,400,Amb,dry,13,6.46,5.36,6.24,0.52,91.26,718,212,3.9,5.98,6.1,0.74,0.66,74,23,1,19,4,0,,,
Sideroxylon,400,Amb,dry,5,10.82,5.49,8.28,0.50,80.84,1346,449,5.4,6.05,6.17,0.56,0.53,88,37,2,37,0,0,,,
Sideroxylon,400,Amb,dry,12,3.96,2.58,2.33,0.35,73.20,541,264,6.0,3.79,4.18,0.58,0.59,68,32,1,31,1,0,,,
Sideroxylon,400,Amb,dry,15,10.51,4.89,4.59,0.30,92.93,1136,238,5.6,5.98,6.19,0.59,0.71,80,24,1,23,1,0,,,
Sideroxylon,400,Amb,dry,21,9.12,8.49,9.65,0.54,80.14,1138,441,4.1,5.98,5.86,0.63,0.62,86,39,1,37,2,0,,,
Sideroxylon,400,Amb,dry,24,10.90,8.35,11.97,0.61,80.74,1350,358,4.3,5.7,5.92,0.71,0.72,94,28,1,28,0,0,,,
Sideroxylon,400,Amb,dry,25,4.35,2.80,3.85,0.52,85.63,508,180,4.5,4.41,3.72,0.55,0.51,57,13,7,13,0,0,,,
Sideroxylon,400,Amb,dry,37,3.58,2.90,2.30,0.35,79.68,448,158,5.1,5.42,4.84,0.51,0.48,70,15,1,15,0,0,,,
Sideroxylon,400,Amb,dry,38,8.25,6.42,6.93,0.46,78.87,1044,329,4.7,6.41,6.78,0.59,0.44,61,36,1,28,8,0,,,
Sideroxylon,640,Amb,dry,202,12.37,8.78,7.60,0.36,94.36,1311,369,4.5,6.73,6.27,0.67,0.68,107,33,1,33,0,0,,,
Sideroxylon,640,Amb,dry,204,11.45,7.40,12.03,0.63,93.20,1226,257,4.0,7.79,7.22,0.89,1.03,81,25,1,20,5,0,,,
Sideroxylon,640,Amb,dry,211,9.51,7.32,8.40,0.49,89.32,1063,483,4.2,5.26,5.44,0.96,0.84,89,48,2,48,0,0,,,
Sideroxylon,640,Amb,dry,215,13.85,9.71,12.09,0.51,131.21,1056,275,3.0,7.91,6.75,1.01,0.84,74,36,1,23,13,0,,,
Sideroxylon,640,Amb,dry,217,11.45,8.55,10.71,0.53,107.10,1076,361,3.5,5.9,6.67,0.65,0.67,82,35,1,35,0,0,,,
Sideroxylon,640,Amb,dry,228,9.58,6.20,8.69,0.55,82.22,1165,338,4.7,5.75,5.66,0.82,0.74,83,25,1,25,0,0,,,
Sideroxylon,640,Amb,dry,236,6.50,7.22,7.54,0.54,68.71,946,286,4.4,6.03,6.35,0.9,1.19,83,23,5,23,0,0,,,
Sideroxylon,640,Amb,dry,277,7.77,5.01,3.37,0.26,105.86,734,242,4.5,5.7,5.71,1.01,0.74,80,22,1,22,0,0,,,
Sideroxylon,640,Amb,dry,306,19.99,14.38,20.60,0.60,104.07,1934,405,3.5,8.09,8.14,0.93,0.72,95,45,1,33,12,0,,,
Sideroxylon,280,Elv,dry,413,7.88,7.24,6.36,0.42,94.27,831,361,3.8,6.82,5.24,0.81,0.82,95,26,1,26,0,0,,,
Sideroxylon,280,Elv,dry,417,6.89,4.80,5.13,0.44,68.15,1011,412,6.0,4.65,4.71,0.74,0.87,86,36,1,36,0,0,,,
Sideroxylon,280,Elv,dry,421,5.41,5.26,4.79,0.45,75.45,717,235,4.6,4.58,5.17,0.58,0.7,103,24,1,24,0,0,,,
Sideroxylon,280,Elv,dry,432,4.80,4.56,5.25,0.56,95.03,506,318,3.5,4.32,4.25,0.69,0.75,80,27,1,22,5,0,,,
Sideroxylon,280,Elv,dry,483,5.28,6.41,4.96,0.42,97.70,544,304,3.2,5.51,5.51,1.03,1.01,100,43,1,41,2,0,,,
Sideroxylon,280,Elv,dry,484,5.31,4.61,4.45,0.45,78.72,688,246,4.8,5.56,4.67,0.61,0.59,68,19,1,19,0,0,,,
Sideroxylon,280,Elv,dry,487,8.34,7.67,5.08,0.31,86.78,961,412,4.5,5.84,4.46,0.65,0.6,90,38,2,38,0,0,,,
Sideroxylon,280,Elv,dry,488,4.76,4.43,2.85,0.31,68.69,693,243,5.7,4.44,5.3,0.78,0.81,79,23,1,17,6,0,,,
Sideroxylon,400,Elv,dry,319,7.56,9.22,7.84,0.47,65.82,1149,317,4.7,7.15,6.55,0.68,0.65,104,28,1,28,0,0,,,
