ID,Species,Botanical.family,Wood.density..g.cm-3.,dbh..cm.,Total.height..m.,Basal.area..m2.,Basal.area..m2.ha-1.,Wood.mass..kg........bole.+.branches.,Wood.mass..kg.ha-1........bole.+.branches.,Leaf.mass..kg.,Leaf.mass..kg.ha-1.,Vegetation.type,Growing.environment,Location,Mean.annual.rainfall,Mean.annual.temperature
103,Qualea parviflora Mart.er ,Vochysiaceae,0.51,14,5,0.0154,0.0308,48.07,1394.12,0.07859,2.28,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
16,Sclerolobium sp.,Caesalpinioideae,0.6,11.8,5,0.0109,0.0218,50.22,370.88,1.60065,11.82,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
30,Sclerolobium sp.,Caesalpinioideae,0.6,15.6,5,0.0191,0.0382,71.86,1236.07,3.3305,57.28,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
70,Sclerolobium sp.,Caesalpinioideae,0.6,11.1,4,0.0097,0.0195,29.41,605.84,2.08078,42.86,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
73,Sclerolobium sp.,Caesalpinioideae,0.6,10.2,4,0.0081,0.0163,32.92,678.19,2.08771,43.01,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
89,Sclerolobium sp.,Caesalpinioideae,0.6,11.8,5.5,0.0109,0.0218,47.42,1314.17,2.54003,70.39,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
57,Solanum sp.,Solanaceae,0.45,10.7,4,0.0089,0.0179,13.56,211.5,0.36814,5.74,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
58,Solanum sp.,Solanaceae,0.45,13.5,4,0.0144,0.0287,13.96,217.81,0.66721,10.41,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
61,Solanum sp.,Solanaceae,0.45,13.7,4,0.0147,0.0294,17.76,277.03,0.849,13.24,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
69,Solanum sp.,Solanaceae,0.45,8.6,3,0.0058,0.0116,6.19,127.55,0.16509,3.4,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
72,Solanum sp.,Solanaceae,0.45,9.9,4,0.0076,0.0153,8.85,182.24,0.25028,5.16,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
74,Solanum sp.,Solanaceae,0.45,27.6,6.3,0.0597,0.1194,239.66,4936.9,1.74654,35.98,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
54,Strychnos pseudoquina A. St.-Hil.er ,Loganiaceae,0.7,8.3,3.5,0.0054,0.0108,4.06,63.33,0.08387,1.31,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
64,Stryphnodendron adstringens (Mart.) Covilleer ,Mimosaceae,0.54,18.1,5,0.0258,0.0516,83.06,1295.68,0.52325,8.16,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
65,Stryphnodendron adstringens (Mart.) Covilleer ,Mimosaceae,0.54,15.9,4.5,0.0198,0.0395,103.22,1610.16,1.60259,25,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
36,Terminalia argentea Mart.er,Combretaceae,0.67,11.9,4.3,0.0111,0.0222,66.87,1150.12,4.15067,71.39,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
62,Terminalia argentea Mart.er,Combretaceae,0.67,12.3,4,0.0118,0.0236,40.58,632.97,4.27558,66.7,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
