"Species_name","Family","site","age","height","leaf_weight","stem_weight","total_weight","dia","stem.area","lma","leaf_area"
"Pultenaea tuberculata","Fabaceae","Basin1981",32,1420,148.3,6294.6,6442.9,3.43,9.24013085255464,0.113333333333333,1308.52941176471
"Pultenaea tuberculata","Fabaceae","Basin1981",32,870,280.4,6367.9,6648.3,4.98333333333333,19.5042725571931,0.113333333333333,2474.11764705882
"Pultenaea tuberculata","Fabaceae","Basin1981",32,1140,302.5,7388.4,7690.9,4.61666666666667,16.7396710220341,0.113333333333333,2669.11764705882
"Pultenaea tuberculata","Fabaceae","Basin2005",7,540,2236.1,6245.6,8481.7,6.03,28.5577840794783,0.104,21500.9615384615
"Pultenaea tuberculata","Fabaceae","Basin2005",7,610,2317.1,5423,7740.1,3.67,10.5784493229839,0.104,22279.8076923077
"Pultenaea tuberculata","Fabaceae","Basin2005",7,590,2185.1,3394.4,5579.5,4.12666666666667,13.374842030468,0.104,21010.5769230769
"Pultenaea tuberculata","Fabaceae","Basin2005",7,540,3875.1,5184.5,9059.6,3.65333333333333,10.4825871138181,0.104,37260.5769230769
"Pultenaea tuberculata","Fabaceae","Basin2005",7,540,1004.2,1964.3,2968.5,3.26666666666667,8.38107106807677,0.104,9655.76923076923
"Pultenaea tuberculata","Fabaceae","Basin2005",7,665,1720.9,3667.6,5388.5,4.23666666666667,14.0973821608549,0.104,16547.1153846154
"Pultenaea tuberculata","Fabaceae","Basin2005",7,680,2358.2,4383.4,6741.6,4.43666666666667,15.4597861749616,0.104,22675
"Pultenaea tuberculata","Fabaceae","Basin2007",5,420,1508,1800.8,3308.8,3.51666666666667,9.71297545350494,0.119666666666667,12601.6713091922
"Pultenaea tuberculata","Fabaceae","Basin2007",5,400,1306.2,1578.3,2884.5,3.02333333333333,7.17896681911942,0.119666666666667,10915.3203342618
"Pultenaea tuberculata","Fabaceae","Basin2007",5,290,411.5,543,954.5,2.48333333333333,4.84350684044076,0.119666666666667,3438.71866295265
"Pultenaea tuberculata","Fabaceae","Basin2007",5,413,315,884.4,1199.4,2.57,5.1874763294238,0.119666666666667,2632.31197771588
"Pultenaea tuberculata","Fabaceae","Basin2007",5,625,1669.1,3354.8,5023.9,4.07,13.0100420368624,0.119666666666667,13947.9108635097
"Pultenaea tuberculata","Fabaceae","Basin2007",5,355,1496.2,1890.1,3386.3,3.34,8.76158775159657,0.119666666666667,12503.0640668524
"Pultenaea tuberculata","Fabaceae","Basin2007",5,575,2323.5,3837.6,6161.1,4.10666666666667,13.2455131328952,0.119666666666667,19416.43454039
"Pultenaea tuberculata","Fabaceae","Waratah2003",9,880,4009.4,10821.2,14830.6,5.01333333333333,19.739813466396,0.127666666666667,31405.2219321149
"Pultenaea tuberculata","Fabaceae","Waratah2003",9,820,4713.6,14654.3,19367.9,5.49333333333333,23.700733484042,0.127666666666667,36921.1488250653
