dataset,location,latitude,longitude,map,mat,species,growingcondition,status,light,harvest_year,age,tree_id,rep,number,genlev,genotype,dbh,grdiam,ht,SLA,stemdw,branchdw,leafdw,stembranchdw,agdw,taprootdw,coarserootdw,finerootdw,bgdw,totaldw,totalLA
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2009,3,11_11,11,11,fs,FS3,4.37,7.92,3.52,38.35520344,1.920080741,1.15472415,1.079194434,3.074804891,4.153999325,1.340,0.29401,0.01822,1.65223,5.806229325,4.139272209
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2009,3,13_1,13,1,fs,FS2,4.85,8.86,3.76,36.57420263,2.319202558,2.0280927,2.013811007,4.347295258,6.361106265,1.480,0.41411,0.03065,1.92476,8.285866265,7.365353185
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2009,3,13_2,13,2,cl,C2,1.47,3.86,2.34,36.23330967,0.54214875,0.241345,0.229254808,0.78349375,1.012748558,0.180,0.05454,0.0183,0.25284,1.265588558,0.830666044
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2009,3,13_3,13,3,hs,HS2,4.90,7.11,3.73,36.42219843,1.908096296,1.03951185,1.779560606,2.947608146,4.727168752,1.360,0.32242,0.02725,1.70967,6.436838752,6.481550951
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2009,3,13_4,13,4,fs,FS3,7.72,11.73,4.86,41.93549001,5.683916418,3.2264966,3.772033093,8.910413018,12.68244611,2.940,1.36327,0.05679,4.36006,17.04250611,15.81820561
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2009,3,13_5,13,5,cl,C3B,4.04,6.22,3.50,38.42475225,1.519874483,0.472671,1.009541026,1.992545483,3.002086509,0.700,0.22419,0.0207,0.94489,3.946976509,3.879136383
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2009,3,13_6,13,6,cl,C3C,5.92,9.02,4.71,37.0877784,3.357774419,1.02569085,1.45318749,4.383465269,5.836652758,1.900,0.41873,0.0191,2.33783,8.174482758,5.389549559
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2009,3,13_7,13,7,cl,C1B,3.10,6.46,2.61,36.936844,1.318937222,0.234,0.66760274,1.552937222,2.220539962,0.610,0.08815,0.01969,0.71784,2.938379962,2.465913825
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2009,3,13_8,13,8,cl,C1C,3.81,6.96,3.01,38.58255507,1.472096,0.866781,1.450802139,2.338877,3.789679139,0.800,0.26994,0.01716,1.0871,4.876779139,5.597565342
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2009,3,13_9,13,9,hs,HS3,6.81,10.67,4.01,38.17498202,4.4722825,2.60726011,3.486342505,7.07954261,10.56588511,2.460,1.1378,0.038,3.6358,14.20168511,13.30910624
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2009,3,13_10,13,10,hs,HS1,5.54,6.99,3.90,38.90566997,2.649701765,0.7374078,1.276669623,3.387109565,4.663779188,1.710,0.36578,0.02808,2.10386,6.767639188,4.966968702
