nr,forest,latitude,longitude,map,mat,species,family,individual,pft,age (yr),a.lf,a.stba,a.stbc,h.c,m.lf,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,growingCondition,status,light
80,Inpa (DRY),-16,-61,1160,24.3,Anadenanthera colubrina ,Fabaceae - Mimosoideae,10,EA,0.667,8.457,1.169,0.204,88,0.038,0.034,0.072,,,0.064,0.064,0.136,2.819,44.933,0.623,FW,3,full overhead light along logging road or in tree fall gap
81,Inpa (DRY),-16,-61,1160,24.3,Casearia gossypiosperma,Flacourtiaceae,1,DA,0.667,13.041,0.754,0.108,93,0.058,0.041,0.099,,0.017,0.031,0.048,0.147,1.63,44.474,1.153,FW,3,full overhead light along logging road or in tree fall gap
82,Inpa (DRY),-16,-61,1160,24.3,Casearia gossypiosperma,Flacourtiaceae,2,DA,0.667,11.793,0.817,0.053,83,0.039,0.029,0.068,,0.001,0.02,0.021,0.089,1.072,33.071,0.972,FW,3,full overhead light along logging road or in tree fall gap
83,Inpa (DRY),-16,-61,1160,24.3,Casearia gossypiosperma,Flacourtiaceae,3,DA,0.667,12.639,1.961,0.292,91,0.045,0.069,0.114,,0.018,0.121,0.139,0.253,2.528,35.604,0.756,FW,3,full overhead light along logging road or in tree fall gap
84,Inpa (DRY),-16,-61,1160,24.3,Casearia gossypiosperma,Flacourtiaceae,4,DA,0.667,18.733,1.094,0.264,69,0.069,0.033,0.102,,0.018,0.037,0.055,0.157,1.703,36.832,0.757,FW,3,full overhead light along logging road or in tree fall gap
85,Inpa (DRY),-16,-61,1160,24.3,Casearia gossypiosperma,Flacourtiaceae,5,DA,0.667,76.703,5.187,0.541,146,0.302,0.383,0.685,0.065,0.057,0.326,0.383,1.068,3.653,39.373,1.063,FW,3,full overhead light along logging road or in tree fall gap
86,Inpa (DRY),-16,-61,1160,24.3,Casearia gossypiosperma,Flacourtiaceae,6,DA,0.667,66.905,2.602,0.229,128,0.211,0.123,0.334,0.005,0.026,0.167,0.193,0.527,3.041,31.537,0.8,FW,3,full overhead light along logging road or in tree fall gap
87,Inpa (DRY),-16,-61,1160,24.3,Casearia gossypiosperma,Flacourtiaceae,7,DA,0.667,69.494,2.011,0.229,190,0.178,0.152,0.33,0.009,0.011,0.119,0.13,0.46,3.159,25.614,0.822,FW,3,full overhead light along logging road or in tree fall gap
88,Inpa (DRY),-16,-61,1160,24.3,Casearia gossypiosperma,Flacourtiaceae,8,DA,0.667,31.119,1.075,0.173,80,0.066,0.023,0.089,,0.003,0.038,0.041,0.13,1.729,21.209,0.514,FW,3,full overhead light along logging road or in tree fall gap
89,Inpa (DRY),-16,-61,1160,24.3,Casearia gossypiosperma,Flacourtiaceae,9,DA,0.667,28.688,1.131,0.273,76,0.075,0.034,0.109,,0.005,0.04,0.045,0.154,2.049,26.143,0.685,FW,3,full overhead light along logging road or in tree fall gap
90,Inpa (DRY),-16,-61,1160,24.3,Casearia gossypiosperma,Flacourtiaceae,10,DA,0.667,19.224,0.833,0.332,74,0.041,0.020,0.061,,0.007,0.017,0.024,0.085,1.922,21.328,0.48,FW,3,full overhead light along logging road or in tree fall gap
91,Inpa (DRY),-16,-61,1160,24.3,Phyllostylon rhamnoides,Ulmaceae,1,EA,0.667,7.441,1.41,0.166,127,0.025,0.053,0.078,0.003,,0.063,0.063,0.141,1.063,33.597,0.608,FW,3,full overhead light along logging road or in tree fall gap
92,Inpa (DRY),-16,-61,1160,24.3,Phyllostylon rhamnoides,Ulmaceae,2,EA,0.667,6.293,1.517,0.108,100,0.023,0.047,0.07,,,0.044,0.044,0.114,2.098,36.55,0.695,FW,3,full overhead light along logging road or in tree fall gap
93,Inpa (DRY),-16,-61,1160,24.3,Phyllostylon rhamnoides,Ulmaceae,3,EA,0.667,12.975,1.606,0.139,86,0.05,0.055,0.105,0.002,0.004,0.071,0.075,0.18,2.595,38.535,0.865,FW,3,full overhead light along logging road or in tree fall gap
94,Inpa (DRY),-16,-61,1160,24.3,Phyllostylon rhamnoides,Ulmaceae,4,EA,0.667,10.674,2.488,0.139,134,0.043,0.081,0.124,0.004,0.009,0.07,0.079,0.203,2.135,40.283,0.564,FW,3,full overhead light along logging road or in tree fall gap
95,Inpa (DRY),-16,-61,1160,24.3,Phyllostylon rhamnoides,Ulmaceae,5,EA,0.667,7.982,1.267,0.322,86,0.028,0.059,0.087,0.004,0.006,0.057,0.063,0.15,1.596,35.08,0.924,FW,3,full overhead light along logging road or in tree fall gap
96,Inpa (DRY),-16,-61,1160,24.3,Phyllostylon rhamnoides,Ulmaceae,6,EA,0.667,13.468,2.19,0.152,134,0.053,0.074,0.127,,0.012,0.108,0.12,0.247,4.489,39.352,0.568,FW,3,full overhead light along logging road or in tree fall gap
97,Inpa (DRY),-16,-61,1160,24.3,Phyllostylon rhamnoides,Ulmaceae,7,EA,0.667,5.158,1.021,0.132,112,0.019,0.039,0.058,,0.003,0.05,0.053,0.111,2.579,36.837,0.687,FW,3,full overhead light along logging road or in tree fall gap
98,Inpa (DRY),-16,-61,1160,24.3,Phyllostylon rhamnoides,Ulmaceae,8,EA,0.667,43.846,3.237,0.229,145,0.167,0.153,0.32,,,,,0.32,2.579,38.088,0.732,FW,3,full overhead light along logging road or in tree fall gap
99,Inpa (DRY),-16,-61,1160,24.3,Phyllostylon rhamnoides,Ulmaceae,9,EA,0.667,29.549,4.047,0.196,100,0.118,0.183,0.301,0.028,0.027,0.215,0.242,0.543,2.955,39.934,1.069,FW,3,full overhead light along logging road or in tree fall gap
100,Inpa (DRY),-16,-61,1160,24.3,Phyllostylon rhamnoides,Ulmaceae,10,DA,0.667,7.298,1.327,0.139,80,0.028,0.042,0.07,0.011,0.005,0.045,0.05,0.12,2.433,38.366,0.831,FW,3,full overhead light along logging road or in tree fall gap
