,,,cm,m,m,m2,g,g,g,m2,cm2,cm,cm2/g,g/m2,m2/m2,,,,mm,,,,,,,,
Source,species,Tree.No.,DBH,Height,Crown.depth,Crown.Projection.Area,Stem.mass,Total.leaf.mass,Individual.leaf.mass,Total.leaf.area,Individual.leaf.area,Stem.diameter.at.10.percent.Height,SLA,LMA,LAI,light.ISF,light.DSF,light.GSF,D0,pft,growingCondition,location,latitude,longitude,vegetation,map,mat
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,56,,95,5,0.151974545,10.35361239,2.55023992,0.364319989,779.8633677,111.4090525,0.579913787,305.8000001,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,57,,71,20,0.08136725,7.968930247,1.281354816,0.160169352,505.9557625,63.24447031,0.584978632,394.8599999,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,58,,131,2,0.135245564,14.31314279,1.41667275,0.202381821,597.2875112,85.32678732,0.584978632,421.6129033,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,59,,80,9,0.122522113,9.069366377,3.352356767,0.372484085,765.6782856,85.07536507,0.58966092,228.4,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,60,,83,10,0.301592895,9.402022463,6.922879879,0.692287988,1682.536726,168.2536726,0.589915248,243.04,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,61,,79,3,0.053014376,9.116121105,0.60083066,0.100138443,263.5063023,43.91771706,0.594978991,438.5699996,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,62,,101,14,0.165483393,11.5297659,5.455436672,0.495948788,1063.810151,96.71001374,0.594978991,195,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,63,,117,39,0.184725648,13.70009483,3.207719738,0.193490263,994.9705082,60.01680986,0.604979338,310.18,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,64,,120,7,0.286984489,14.47544436,8.265861665,0.826586167,1835.44518,183.544518,0.614817046,222.0512821,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,65,,120,6,0.128648219,14.93644308,1.475718111,0.163968679,558.0400707,62.0044523,0.62498,378.148148,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,66,,121,5,0.268292013,,,,,,0.62968246,,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,67,,115,4,0.132025431,14.99310773,3.553966606,0.444245826,714.2326436,89.27908045,0.639687424,200.9677419,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,68,,87,3,0.098803089,11.65941119,2.040754856,0.291536408,405.489117,57.92701671,0.644825558,198.6956522,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,69,,82,3,0.158964588,11.02298872,1.775271558,0.253610223,853.4618017,121.9231145,0.64498062,480.7500001,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
