age,h.t,h.c,a.st,a.sh,a.ss,m.rt,m.st,a.cp,m.br,m.f,a.cs,pft,species,growingCondition,fertilized
46,9.8,5.4,0.010568309,0.000706858,0.007788002,0,25.382,0.477835839,5.012,2.611,10.48931881,EG,Pinus sylvestris,PM,no

45,9.6,5.2,0.011309724,0.001075209,0.008428101,0,22.926,0.384844775,3.731,2.61,9.054404297,EG,Pinus sylvestris,PM,no

54,9.7,5.06,0.00950331,0.000283528,0.008375479,4.529,22.996,0.453645596,3.582,2.675,9.583615528,EG,Pinus sylvestris,PM,yes

62,11.2,6.61,0.010935875,0.000706858,0.008796452,9.077,28.498,0.950330975,4.076,2.771,18.15828767,EG,Pinus sylvestris,PM,yes

53,10.9,5.98,0.015836755,0.000615752,0.013277145,7.762,37.78,0.636171975,5.716,2.862,13.4129847,EG,Pinus sylvestris,PM,yes

45,12.4,6.84,0.013478206,0.000706858,0.011369414,7.325,41.348,0.430083671,5.679,3.347,12.55595844,EG,Pinus sylvestris,PM,yes

43,8.7,5.9,0.009852026,0.000490873,0.008003986,0,19.23,0.2827431,3.699,3.539,8.77618792,EG,Pinus sylvestris,PM,yes

46,8.8,5.9,0.010751306,0.000615752,0.009061131,0,21.665,0.430083671,4.07,2.459,10.84928325,EG,Pinus sylvestris,PM,yes

40,10.6,5.33,0.0130698,0.000113097,0.011576759,8.251,31.065,0.430083671,4.949,4.19,9.815869262,EG,Pinus sylvestris,PM,yes

47,11.8,5.67,0.013478206,0.000615752,0.011853219,8.696,37.687,0.528101279,5.474,3.363,11.57884071,EG,Pinus sylvestris,PM,yes

43,9.7,5.35,0.00950331,0.000490873,0.007680402,6.297,21.82,0.430083671, , ,9.852105687,EG,Pinus sylvestris,PM,no

