contributor,family,species,age (months),total height (cm),stem diameter at base (mm),leaf area (cm2),total leaf mass (g),total root mass (g),stem mass (g),Single leaf area (cm2),lma (g cm-2),Plant functional type,Growing condition,Status,Light,Other notes about growing conditions,Location,Lat,Long,Vegetation,map,mat,reference
Baltzer 2007,Aceraceae,AR,2,3.9,,8.19,0.0252,0.0245,0.016,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 209
Baltzer 2007,Aceraceae,AR,2,4.4,,18.28,0.052,0.0255,0.0168,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 210
Baltzer 2007,Aceraceae,AR,2,4.2,,16.47,0.0502,0.0161,0.0139,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 211
Baltzer 2007,Aceraceae,AR,2,3.4,,10.58,0.0304,0.0248,0.0178,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 212
Baltzer 2007,Aceraceae,AR,2,4.8,,15.13,0.0491,0.021,0.0151,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 213
Baltzer 2007,Aceraceae,AR,2,5.9,,15.9,0.0606,0.0255,0.0162,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 214
Baltzer 2007,Aceraceae,AR,2,2.3,,10.47,0.0321,0.0184,0.0131,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 215
Baltzer 2007,Aceraceae,AR,2,3.2,,7.78,0.0253,0.0235,0.015,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 216
Baltzer 2007,Aceraceae,AR,2,,,10.83,0.0306,0.025,0.0131,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 217
Baltzer 2007,Aceraceae,AR,2,5.8,,8.71,0.0188,0.0124,0.0135,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 218
Baltzer 2007,Aceraceae,AR,2,3.6,,3.23,0.0048,0.0021,0.0036,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 219
Baltzer 2007,Aceraceae,AR,2,4.3,,2.27,0.0018,0.0016,0.0024,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 220
Baltzer 2007,Aceraceae,AR,2,6.4,,2.86,0.0037,0.0013,0.004,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 221
Baltzer 2007,Aceraceae,AR,2,2.6,,7.49,0.0232,0.0087,0.009,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 222
Baltzer 2007,Aceraceae,AR,2,4.3,,8.53,0.0176,0.0066,0.0072,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 223
Baltzer 2007,Aceraceae,AR,2,5.6,,6.39,0.0128,0.0035,0.0047,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 224
Baltzer 2007,Aceraceae,AR,2,4.3,,1.92,0.0029,0.0015,0.0026,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 225
Baltzer 2007,Aceraceae,AR,2,5.4,,9.25,0.0162,0.0068,0.0077,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 226
Baltzer 2007,Aceraceae,AR,2,3.9,,3,0.0062,0.0016,0.0023,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 227
Baltzer 2007,Aceraceae,AR,2,3,,2.53,0.0053,0.002,0.004,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 228
Baltzer 2007,Aceraceae,AS,2,6.4,,28.78,0.1112,0.1153,0.059,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 229
Baltzer 2007,Aceraceae,AS,2,5.5,,46.71,0.1888,0.2145,0.0607,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 230
Baltzer 2007,Aceraceae,AS,2,5.3,,63.05,0.2374,0.2043,0.0881,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 231
Baltzer 2007,Aceraceae,AS,2,6.8,,31.62,0.1024,0.1275,0.0599,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 232
Baltzer 2007,Aceraceae,AS,2,4.7,,32.89,0.1384,0.2308,0.1007,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 233
Baltzer 2007,Aceraceae,AS,2,4.9,,56.27,0.21,0.1663,0.0628,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 234
Baltzer 2007,Aceraceae,AS,2,4.5,,42.87,0.1562,0.2192,0.0616,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 235
Baltzer 2007,Aceraceae,AS,2,4,,41.65,0.1443,0.0982,0.0373,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 236
Baltzer 2007,Aceraceae,AS,2,,,24.74,0.0961,0.0955,0.0292,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 237
Baltzer 2007,Aceraceae,AS,2,4.9,,,0.142,0.0287,0.0309,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 238
Baltzer 2007,Aceraceae,AS,2,5.2,,13.82,0.0371,0.0238,0.0199,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 239
Baltzer 2007,Aceraceae,AS,2,7.1,,11.19,0.0187,0.0121,0.0184,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 240
Baltzer 2007,Aceraceae,AS,2,5.7,,18.2,0.0451,0.0337,0.0288,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 241
Baltzer 2007,Aceraceae,AS,2,7.8,,12.7,0.0309,0.0199,0.0246,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 242
Baltzer 2007,Aceraceae,AS,2,6.9,,10.98,0.0255,0.0179,0.0153,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 243
Baltzer 2007,Aceraceae,AS,2,3.5,,22.09,0.0605,0.0474,0.0198,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 244
Baltzer 2007,Aceraceae,AS,2,5.8,,4.38,0.0082,0.0027,0.0056,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 245
Baltzer 2007,Aceraceae,AS,2,4.9,,20.49,0.0638,0.0201,0.022,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 246
Baltzer 2007,Aceraceae,AS,2,,,10.6,0.0204,0.0048,0.0096,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 247
Baltzer 2007,Aceraceae,AS,2,5.9,,13.12,0.0314,0.0208,0.0205,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 248
Baltzer 2007,Betulaceae,BA,2,0.8,,0.42,0.0014,0.0021,0.0014,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 249
Baltzer 2007,Betulaceae,BA,2,0.8,,0.35,0.0005,0.0004,0.0005,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 250
Baltzer 2007,Betulaceae,BA,2,3,,2.32,0.0084,0.0046,0.0036,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 251
Baltzer 2007,Betulaceae,BA,2,1.7,,1.58,0.0047,0.0037,0.0037,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 252
Baltzer 2007,Betulaceae,BA,2,2,,3.59,0.0124,0.0078,0.0071,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 253
Baltzer 2007,Betulaceae,BA,2,2.6,,10.35,0.0291,0.0166,0.0066,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 254
Baltzer 2007,Betulaceae,BA,2,1.6,,1.38,0.0052,0.0047,0.0019,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 255
Baltzer 2007,Betulaceae,BA,2,1.7,,3.92,0.0142,0.015,0.0043,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 256
Baltzer 2007,Betulaceae,BA,2,1.2,,1.38,0.0048,0.0038,0.0022,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 257
Baltzer 2007,Betulaceae,BA,2,1.8,,2.52,0.0065,0.006,0.0035,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 258
Baltzer 2007,Betulaceae,BA,2,1.1,,2.73,0.0089,0.0042,0.0039,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 259
Baltzer 2007,Betulaceae,BA,2,1.4,,1.04,0.0007,0.0013,0.0019,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 260
Baltzer 2007,Betulaceae,BA,2,1.1,,2.74,0.0059,0.0029,0.0024,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 261
Baltzer 2007,Betulaceae,BA,2,1,,0.65,0.0003,0.0003,0.0016,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 262
Baltzer 2007,Betulaceae,BA,2,1.4,,0.32,0.0007,0.0004,0.0008,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 263
Baltzer 2007,Betulaceae,BA,2,1,,0.77,0.0009,0.0015,0.0011,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 264
Baltzer 2007,Betulaceae,BA,2,1.2,,1.43,0.002,0.0011,0.0012,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 265
Baltzer 2007,Betulaceae,BA,2,1.9,,2.34,0.0036,0.0016,0.001,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 266
Baltzer 2007,Betulaceae,BA,2,2.4,,2,0.0031,0.0015,0.0011,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 267
Baltzer 2007,Betulaceae,BA,2,1.9,,1.54,0.0033,0.0049,0.0023,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 268
Baltzer 2007,Betulaceae,BA,2,0.5,,0.62,0.001,0.0004,0.0006,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 269
Baltzer 2007,Oleaceae,FA,2,4.6,,28.03,0.0638,0.0566,0.0309,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 270
Baltzer 2007,Oleaceae,FA,2,4.2,,24.85,0.0361,0.0191,0.0102,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 271
Baltzer 2007,Oleaceae,FA,2,3.9,,20.65,0.0465,0.0298,0.0195,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 272
Baltzer 2007,Oleaceae,FA,2,,,22.05,0.0488,0.0653,0.032,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 273
Baltzer 2007,Oleaceae,FA,2,2.6,,21.39,0.0334,0.0156,0.0125,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 274
Baltzer 2007,Oleaceae,FA,2,2.3,,8.23,0.0169,0.0094,0.0049,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 275
Baltzer 2007,Oleaceae,FA,2,4.3,,27.51,0.0576,0.0268,0.0226,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 276
Baltzer 2007,Oleaceae,FA,2,4.8,,29.99,0.0759,0.0446,0.0287,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 277
Baltzer 2007,Oleaceae,FA,2,4.1,,19.32,0.039,0.0411,0.0218,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 278
Baltzer 2007,Oleaceae,FA,2,2.7,,27.24,0.0712,0.06,0.0244,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 279
Baltzer 2007,Oleaceae,FA,2,2.8,,14.41,0.0147,0.0077,0.0054,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 280
Baltzer 2007,Oleaceae,FA,2,3.7,,20.93,0.0298,0.0167,0.0096,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 281
Baltzer 2007,Oleaceae,FA,2,3.6,,17.61,0.0195,0.0088,0.008,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 282
Baltzer 2007,Oleaceae,FA,2,6.2,,11.41,0.0114,0.0055,0.0067,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 283
Baltzer 2007,Oleaceae,FA,2,4,,11.75,0.0107,0.0045,0.0044,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 284
Baltzer 2007,Oleaceae,FA,2,6.5,,13.96,0.0123,0.0055,0.0065,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 285
Baltzer 2007,Oleaceae,FA,2,4,,13.16,0.0137,0.0055,0.0079,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 286
Baltzer 2007,Oleaceae,FA,2,,,24.6,0.0382,0.016,0.0122,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 287
Baltzer 2007,Oleaceae,FA,2,4,,16.83,0.0192,0.0127,0.0091,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 288
Baltzer 2007,Oleaceae,FA,2,2.9,,19.57,0.0282,0.0119,0.0079,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 289
Baltzer 2007,Fagaceae,QR,2,10.2,,97.49,0.5788,2.3196,0.255,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 290
Baltzer 2007,Fagaceae,QR,2,11,,107.07,0.584,1.9445,0.2684,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 291
Baltzer 2007,Fagaceae,QR,2,10.6,,82.56,0.4992,1.7659,0.2631,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 292
Baltzer 2007,Fagaceae,QR,2,6.2,,80.62,0.5092,1.2689,0.1799,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 293
Baltzer 2007,Fagaceae,QR,2,9.4,,121.87,0.6779,2.0873,0.3384,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 294
Baltzer 2007,Fagaceae,QR,2,9,,86.31,0.4747,1.7474,0.2223,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 295
Baltzer 2007,Fagaceae,QR,2,6.5,,88.55,0.5026,1.4072,0.2123,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 296
Baltzer 2007,Fagaceae,QR,2,10,,116.12,0.6429,2.1093,0.2721,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 297
Baltzer 2007,Fagaceae,QR,2,9.6,,144.16,0.9204,2.7288,0.2592,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 298
Baltzer 2007,Fagaceae,QR,2,17.2,,351.06,2.1244,2.5843,0.6293,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 299
Baltzer 2007,Fagaceae,QR,2,7.2,,80.04,0.3091,0.6667,0.1647,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 300
Baltzer 2007,Fagaceae,QR,2,12.2,,134.3,0.5271,0.8888,0.2078,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 301
Baltzer 2007,Fagaceae,QR,2,8.4,,134.66,0.5867,1.0703,0.2194,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 302
Baltzer 2007,Fagaceae,QR,2,9.8,,173.68,0.7634,0.8281,0.1802,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 303
Baltzer 2007,Fagaceae,QR,2,12.6,,156.71,0.6335,0.7719,0.2996,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 304
Baltzer 2007,Fagaceae,QR,2,6.7,,68.94,0.2617,0.6585,0.1712,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 305
Baltzer 2007,Fagaceae,QR,2,,,138.44,0.7426,1.4218,0.1616,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 306
Baltzer 2007,Fagaceae,QR,2,7.4,,205.41,0.4673,0.8111,0.2909,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 307
Baltzer 2007,Fagaceae,QR,2,9.1,,158.06,0.6183,1.1079,0.1932,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 308
Baltzer 2007,Fagaceae,QR,2,25.8,,290.56,1.1108,0.9319,0.3707,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 309
Baltzer 2007,Fagaceae,QR,2,10.6,,152.24,0.6118,1.0924,0.3359,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 310
Baltzer 2007,Ulmaceae,UA,2,4.5,,6.88,0.0217,0.0204,0.0121,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 311
Baltzer 2007,Ulmaceae,UA,2,4.6,,13.05,0.0859,0.042,0.023,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 312
Baltzer 2007,Ulmaceae,UA,2,9.8,,26.6,0.072,0.0088,0.0421,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 313
Baltzer 2007,Ulmaceae,UA,2,1.5,,2.25,0.0117,0.0111,0.0042,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 314
Baltzer 2007,Ulmaceae,UA,2,3.7,,8.18,0.0329,0.0218,0.0146,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 315
Baltzer 2007,Ulmaceae,UA,2,12.9,,5.08,0.0016,0.008,0.0048,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 316
Baltzer 2007,Ulmaceae,UA,2,3,,0.96,0.0209,0.0187,0.0064,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 317
Baltzer 2007,Ulmaceae,UA,2,5.1,,5.8,0.0241,0.0122,0.009,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 318
Baltzer 2007,Ulmaceae,UA,2,9.2,,23.02,0.106,0.049,0.0484,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 319
Baltzer 2007,Ulmaceae,UA,2,2.8,,4.13,0.0073,0.006,0.0043,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 320
Baltzer 2007,Ulmaceae,UA,2,3.6,,3.5,0.0135,0.0083,0.0067,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 321
Baltzer 2007,Ulmaceae,UA,2,3.2,,5.93,0.01,0.0037,0.0041,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 322
Baltzer 2007,Ulmaceae,UA,2,4,,5.68,0.0094,0.0034,0.0038,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 323
Baltzer 2007,Ulmaceae,UA,2,7.5,,13.75,0.0329,0.0167,0.0166,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 324
Baltzer 2007,Ulmaceae,UA,2,4.3,,5.12,0.0127,0.0048,0.0058,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 325
Baltzer 2007,Ulmaceae,UA,2,3.8,,8.92,0.0158,0.006,0.0025,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 326
Baltzer 2007,Ulmaceae,UA,2,5.5,,5.28,0.0119,0.005,0.0069,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 327
Baltzer 2007,Ulmaceae,UA,2,4.8,,5.16,0.0107,0.0041,0.0069,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 328
Baltzer 2007,Ulmaceae,UA,2,4.6,,3.95,0.0086,0.0054,0.0054,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 329
Baltzer 2007,Ulmaceae,UA,2,4.3,,4.55,0.0099,0.004,0.0055,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 330
