Spp Abbrev,species,site,latitude,longitude,map,class,DBH,AGB,Ht,source,CD,BD,crown height,height below branch,volume,biomass wood,biomass bark,biomass branch,biomass leaf,leaf area,Sample,Soil
Efoel,Eucalyptus foelscheana,Katherine,-14,132,950,13,21,230.028842,10.88,W,,,,,,91.37992669,,128.6302662,10.0186491,,EF14,Red loam
Efoel,Eucalyptus foelscheana,Katherine,-14,132,950,13,48.1,1289.918005,13.7,W,,,,,,545.7598833,,710.8384349,15.52030038,,EF15,Red loam
Efoel,Eucalyptus foelscheana,Katherine,-14,132,950,13,9.6,33.53325577,8.4,W,,,,,,20.89853836,,10.92003155,1.714685865,,EF16,Red loam
Efoel,Eucalyptus foelscheana,Katherine,-14,132,950,13,10.5,50.05262771,8.8,W,,,,,,20.71491604,,24.33911986,4.998591809,,EF17,Red loam
Efoel,Eucalyptus foelscheana,Katherine,-14,132,950,13,6.7,13.64122647,6.9,W,,,,,,7.468507688,,4.956705987,1.216012799,,EF18,Red loam
Efoel,Eucalyptus foelscheana,Katherine,-14,132,950,13,15.53447507,91.33366582,8.3,W,,,,,,38.44282879,,50.29813493,2.592702105,,EF19,Red loam
Efoel,Eucalyptus foelscheana,Katherine,-14,132,950,13,18.43949045,138.6549621,8.2,W,,,,,,62.57510611,,71.10641595,4.97344,,EF20,Red loam
Epatel,Eucalyptus patellaris,KDPI,-14,132,950,14,11.6,62.07258765,9.2,W,,,,,,22.93760702,,31.4232948,3.297980544,,EP1,Red loam
Epatel,Eucalyptus patellaris,KDPI,-14,132,950,14,23.9,340.8086714,12.7,W,,,,,,124.4646307,,203.1443359,6.618119298,,EP2,Red loam
Epatel,Eucalyptus patellaris,KDPI,-14,132,950,14,17.5,200.5169976,11,W,,,,,,54.15087856,,127.4735739,11.66687177,,EP3,Red loam
Epatel,Eucalyptus patellaris,KDPI,-14,132,950,14,3.9,2.453079254,4.65,W,,,,,,1.461999543,,0.432599118,0.391178446,,EP5,Red loam
Epatel,Eucalyptus patellaris,KDPI,-14,132,950,14,4.7,4.055597578,5.3,W,,,,,,2.799254368,,0.537402378,0.473948633,,EP6,Red loam
Epatel,Eucalyptus patellaris,KDPI,-14,132,950,14,6.7,14.93135474,7.72,W,,,,,,10.26952006,,3.037812461,1.198873036,,EP7,Red loam
Epatel,Eucalyptus patellaris,KDPI,-14,132,950,14,10.8,53.46216183,10.5,W,,,,,,36.75050192,,13.42663734,2.257705133,,EP8,Red loam
Epatel,Eucalyptus patellaris,KDPI,-14,132,950,14,38.3,598.7682352,12,W,,,,,,,,,,,,
Epatel,Eucalyptus patellaris,KDPI,-14,132,950,14,7,10.98706214,5.55,W,,,,,,,,,,,,
Epru,Eucalyptus pruinosa,KidmanSprings,-16,131,650,15,29,328.1130248,9.3,W,,,,,,,,,,,,
Epru,Eucalyptus pruinosa,KidmanSprings,-16,131,650,15,12.6,65.39993248,7.4,W,,,,,,,,,,,,
Epru,Eucalyptus pruinosa,KidmanSprings,-16,131,650,15,15.3,68.718,8,W,,,,,,,,,,,,
Epru,Eucalyptus pruinosa,KidmanSprings,-16,131,650,15,5.1,9.685,4.7,W,,,,,,,,,,,,
Epru,Eucalyptus pruinosa,KidmanSprings,-16,131,650,15,7.5,19.76563391,6.1,W,,,,,,,,,,,,
Epru,Eucalyptus pruinosa,KidmanSprings,-16,131,650,15,2.8,2.356,2.9,W,,,,,,,,,,,,
Epru,Eucalyptus pruinosa,KidmanSprings,-16,131,650,15,14.7,80.23903942,8.1,W,,,,,,,,,,,,
Epru,Eucalyptus pruinosa,KidmanSprings,-16,131,650,15,18.3,124.4163393,9.2,W,,,,,,,,,,,,
Epru,Eucalyptus pruinosa,KidmanSprings,-16,131,650,15,8.8,18.85357528,6.5,W,,,,,,,,,,,,
Epru,Eucalyptus pruinosa,KidmanSprings,-16,131,650,15,12,64.208415,5.9,W,,,,,,,,,,,,
Epru,Eucalyptus pruinosa,KidmanSprings,-16,131,650,15,42,978.5318919,10.8,W,,,,,,,,,,,,
Epru,Eucalyptus pruinosa,KidmanSprings,-16,131,650,15,4.1,6.262,3.9,W,,,,,,,,,,,,
Etect,Eucalyptus tectifica,Manbulloo,-14,132,930,16,6,10.73277088,5.8,W,,,,,,4.546916652,,4.258379343,1.104324766,,ET1,Red loam
Etect,Eucalyptus tectifica,Manbulloo,-14,132,930,16,8.8,30.39344732,6.5,W,,,,,,9.743392826,,10.44261667,5.797705023,,ET2,Red loam
Etect,Eucalyptus tectifica,Manbulloo,-14,132,930,16,11.2,61.68874092,8.4,W,,,,,,17.24941397,,32.22003967,6.280847109,,ET3,Red loam
Etect,Eucalyptus tectifica,Manbulloo,-14,132,930,16,34,779.44,12.1,W,,,,,,301.7272556,,428.7775872,32.16345882,,ET4,Red loam
Etect,Eucalyptus tectifica,Manbulloo,-14,132,930,16,17.6,130.2797924,9.5,W,,,,,,66.85502763,,48.36133549,6.004765917,,ET5,Red loam
Etect,Eucalyptus tectifica,Manbulloo,-14,132,930,16,26,598.7682352,13.6,W,,,,,,245.8483474,,307.8388805,13.1138566,,ET6,Red loam
Etect,Eucalyptus tectifica,Manbulloo,-14,132,930,16,6.6,13.28208225,6,W,,,,,,4.184462439,,6.634555017,1.242365362,,ET7,Red loam
Etect,Eucalyptus tectifica,Manbulloo,-14,132,930,16,21.5,291.7211484,12.5,W,,,,,,102.384517,,164.9429427,14.45524462,,ET8,Red loam
