No.,ht1 (cm),ht2 (cm),Delta t (days),Wood1 (g),Delta wood (g),Leaf1 (g),Delta leaf (g),Leaf area1 (cm2),Leaf area2 (cm2),Area/leaf (cm2),ISF,Wood2 (g),Leaf2 (g),species
13,116,264,341,35.04,132.41,12.71,78.7,2120,8270,108,0.2775,167.45,49.58099057,Alseis
14,101.7,104.2,342,16.81,2.6,4.53,3.29,1980,1440,144,0.0515,19.41,3.294545455,Alseis
15,110,113.6,342,18.89,2.95,3.14,3.53,1400,1570,157,0.0422,21.84,3.521285714,Alseis
17,173,181.3,342,44.57,9.1,7.08,10.45,2690,3275,264,0.0562,53.67,8.619702602,Alseis
18,152.4,162.4,342,40.39,11.27,9.58,12.1,4080,4560,258,0.0616,51.66,10.70705882,Alseis
20,104.5,115.9,342,18.22,3.6,6.42,5.44,2030,1490,115,0.0499,21.82,4.712216749,Alseis
Ajz,202.5,220.5,345,65.93,41.85,20.08,23.59,5730,5260,269,0.0429,107.78,18.43294939,Alseis
22,188.8,210.8,345,81.98,29.06,12.89,19.96,3930,4530,217,0.1076,111.04,14.85793893,Alseis
24,119,153.5,326,20.8,13.46,16.51,11.69,2790,2650,260,0.0684,34.26,15.68154122,Miconia
25,200,226.3,326,54.7,19.66,14.9,16.37,2740,3620,308,0.0793,74.36,19.68540146,Miconia
16,144.4,199.2,326,33.24,25.08,18.35,22.1,2800,2280,310,0.0714,58.32,14.94214286,Miconia
15,194.4,237.9,326,52.12,22.1,33.64,19.1,4630,4780,269,0.0349,74.22,34.72984881,Miconia
17,76,227.9,330,10.83,123.16,15.58,75.12,2480,12300,317,0.1601,133.99,77.27177419,Miconia
18,182.4,285.4,331,52.15,147.18,42.31,87.17,5510,14500,310,0.1183,199.33,111.3421053,Miconia
23,158,169.5,331,21.86,2.17,4.18,4.26,730,1080,105,0.0851,24.03,6.184109589,Miconia
21,120.5,130.5,331,17.25,2.53,7.09,6.37,1335,1040,203,0.0479,19.78,5.52329588,Miconia
1,91.6,129.7,335,9.19,10.84,9.65,10.48,1730,1880,232,0.0647,20.03,10.4867052,Miconia
3,154.4,171.2,334,25.3,4.38,9.08,6.08,1420,1240,106,0.0487,29.68,7.929014085,Miconia
2,157.4,161.5,334,26.44,0.67,6.2,1.1,1160,400,96,0.0244,27.11,2.137931034,Miconia
4,126,173.8,335,22.39,21.42,15.34,24.51,2440,4250,305,0.0541,43.81,26.7192623,Miconia
27,96,155.1,328,20.29,17.07,13.96,14.56,2380,3270,251,0.0648,37.36,19.18033613,Miconia
26,100.4,233.8,328,18.73,16.06,13.39,16.67,2130,3200,265,0.0671,34.79,20.11643192,Miconia
30,100.4,233.8,193,39.87,306.3,52.61,226.4,5090,23000,380,0.6229,346.17,237.7269155,Miconia
31,124,253,193,38.77,107.3,32.58,49.7,4240,6470,510,0.1409,146.07,49.71523585,Miconia
B,110.8,120.1,326,21.85,5.82,9,6.09,4243,3740,133,0.0474,27.67,7.933066227,Palicourea
C,104.6,121.1,326,18.55,10.6,8.52,12.83,3341,3369,233,0.0674,29.15,8.591403771,Palicourea
18,116.6,117.9,326,22.8,1.36,5.07,1.51,2335,1977,93,0.0506,24.16,4.292672377,Palicourea
10,131.2,216.9,333,37.85,134.53,18.96,75.22,7264,24620,130,0.182,172.38,64.26145374,Palicourea
15b,113,146.2,330,21.04,17.47,11.05,11.32,5313,6027,135,0.0675,38.51,12.53498024,Palicourea
17,120.1,219.9,330,32.83,97.62,9.05,42.87,3917,15600,157,0.1503,130.45,36.04288997,Palicourea
5,74,214.5,335,14.88,216.33,8.5,111.95,3554,41000,160,0.1627,231.21,98.0585256,Palicourea
11,116,189.4,333,32.46,110.89,12.43,82.35,5573,32000,153,0.0748,143.35,71.37268975,Palicourea
12,153,157.2,202,44.33,2.49,10.6,3.04,5410,6285,169,0.037,46.82,12.31441774,Palicourea
7,150,160,201,58.04,10.93,13.51,8.48,6559,6559,,0.0378,68.97,13.51,Palicourea
23,108.8,148.8,329,23.58,14.41,7.05,10.41,3177,5000,138,0.0377,37.99,11.09537299,Palicourea
19,130.8,160,328,51.35,43.31,16.49,33.66,6871,13670,123,0.0932,94.66,32.80720419,Palicourea
11,114.7,192.504,106,11.1,38.9,16.34,52.23,2720,10463.84333,1179,0.1761,50,62.86,Cecropia
8,202.5,222.003,99,46.54,14.14,31.74,17.84,6450,9093.809074,818,0.1133,60.68,44.75,Cecropia
17,120.4,199.052,106,9.41,31.61,8.89,25.39,1550,5924.521935,606,0.2036,41.02,33.98,Cecropia
18,121.5,172.698,106,5.4,6.83,4.46,4.33,923,1545.921525,181,0.0579,12.23,7.47,Cecropia
19,139.5,223,106,15.81,40.79,18.49,33.86,3100,7973.823688,815,,56.6,47.56,Cecropia
20,122.4,195.964,106,8.49,16.75,7.69,12.07,1530,3676.775033,361,0.0702,25.24,18.48,Cecropia
20b,116.2,120.2044,94,8.67,0.72,3.03,1.113,1040,387.8547855,194,0.0271,9.39,1.13,Cecropia
21,194.2,201.8046,94,19.49,1.59,4.82,2.82,1310,701.2033195,256,0.0287,21.08,2.58,Cecropia
22,87.8,91.2968,94,3.5,0.35,3.28,0.5,1025,156.25,52,0.0275,3.85,0.5,Cecropia
23,216,231,94,33.49,2.65,8.89,3.75,2700,1138.920135,379,,36.14,3.75,Cecropia
24,242.7,247.5034,94,35.62,1.04,4.7,1.41,1350,255.6382979,229,0.0434,36.66,0.89,Cecropia
2,117,159.292,109,6.64,18.47,7.69,32.28,1240,5837.191157,743,0.2764,25.11,36.2,Cecropia
14,126.4,200.016,107,15.14,29.57,18.46,24.67,4380,8344.777898,918,0.1178,44.71,35.17,Cecropia
