Tree_no,Family,Genera,species,growth_form,dbh_95,Dbh_2004,tree_ht,Fork_ht,crown_depth,cr_width,crown_sil_area,rel_cr_width
94,Myristicaceae,Knema,Knema_ashiton,canopy,14.9,18.6,22.19,14.19,8,5.14,32.30857143,0.231635872
699,Myristicaceae,Knema,Knema_ashiton,canopy,22.5,23.3,22.33,15.07,7.26,5.3,30.23271429,0.237348858
978,Myristicaceae,Knema,Knema_ashiton,canopy,11.1,12,23.23,15.168,8.062,6.755,42.789065,0.290787774
399,Myristicaceae,Knema,Knema_ashiton,canopy,22.1,24,23.68,10.5868,13.0932,5.46,56.169828,0.230574324
353,Myristicaceae,Knema,Knema_ashiton,canopy,52.5,54,33.82,17.325,16.495,8.315,107.7653696,0.245860438
852,Myristicaceae,Knema,Knema_ashiton,canopy,45,59.8,39.06,19.2816,19.7784,13.19,204.9748611,0.337685612
400,Myristicaceae,Knema,Knema_ashiton,canopy,70.5,71,45.78,27.783,17.997,9.93,140.415165,0.216906946
695,Lauraceae,Litsea,Litsea_ferrugi,canopy,5.8,5.8,7.13,4.3428,2.7872,#NULL!,#NULL!,#NULL!
762,Lauraceae,Litsea,Litsea_ferrugi,canopy,5,5.5,8.14,5.1255,3.0145,#NULL!,#NULL!,#NULL!
433,Lauraceae,Litsea,Litsea_ferrugi,canopy,7.2,7.9,9.84,2.675,7.165,4.34,24.43265,0.441056911
131,Lauraceae,Litsea,Litsea_ferrugi,canopy,12.1,14,10.64,4.986,5.654,8.18,36.33906571,0.768796992
229,Lauraceae,Litsea,Litsea_ferrugi,canopy,6.5,7.9,11.63,8.178,3.452,5,13.56142857,0.429922614
211,Lauraceae,Litsea,Litsea_ferrugi,canopy,6,6.9,12.03,#NULL!,#NULL!,5.425,#NULL!,0.450955943
544,Lauraceae,Litsea,Litsea_ferrugi,canopy,10.4,12.5,13.13,9.292,3.838,8.145,24.56182929,0.62033511
437,Lauraceae,Litsea,Litsea_ferrugi,canopy,8.8,10.9,13.57,7.854,5.716,4.18,18.77297714,0.308032424
