dataset,location,latitude,longitude,vegetation,map,mat,grouping,species,family,pft,a.cp,h.t,h.c,d.ba,d.bh,c.d,m.lf,m.st,m.so,m.br,growingCondition
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Cochlospermum vitifolium,,,10.46150336,11.6,10.1,14.7,9.8,1.5,0.234371475,12.34956757,12.58393904,0.527315235,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Ryania speciosa,,,0.604756576,2.5,1.8,1.85,1,0.7,0.0179685,0.125041709,0.143010209,0.011187,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Cordia bicolor,,,4.908738438,4.8,3.7,7,5.3,1.1,0.392378463,3.838546997,4.23092546,0.30877392,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Cochlospermum vitifolium,,,4.146902232,7.9,6,8.9,6.2,1.9,0.191421998,3.187081141,3.378503139,0.445178838,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Cochlospermum vitifolium,,,1.327322874,2.3,1.2,3.75,1.65,1.1,0.11634678,0.185875436,0.302222216,0.019206,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Trichospermum galeottii,,,2.709623618,9,7.9,9,6.8,1.1,0.0786555,5.670478874,5.749134374,0.426616868,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Trichospermum galeottii,,,2.419026302,5.2,4.2,5,4.4,1,0.09065925,1.374822235,1.465481485,0.06333525,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Cupania scrobiculata,,,1.327322874,3.2,2.2,2.85,2.3,1,0.0837045,0.613599346,0.697303846,0,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Xylopia frutescens,,,5.301437513,6.5,5.2,6.55,4.95,1.3,0.669284281,4.369012432,5.038296713,0.877670326,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Cupania scrobiculata,,,1.429424633,3.7,2.4,4.55,3.1,1.3,0.553758915,1.099429914,1.653188829,0.093258,FW
