Site,longitude,latitude,BurnYear,HarvestYear,Edaphic,Species,Number,Height,D0,D10,DBH,DWT,TotWood,TotBranch,TotFol,OldFol,NewFol,OldBranch,NewBranch,Cones,Stem,Sapwood,Root
D1995,-99.97442,56.46049,1995,1999,Dry,JP,10,9.7,0.28,,,1.1,0.26,0.1,0.84,0.32,0.53,0,0.1,0,0.16,,
GILLAM,-94.67,56.33,1929,1994,Dry,JP,1,800,,,5.75,5485.59,5100.97,564.56,384.62,356.58,28.04,557.66,6.9,0,4536.41,,
GILLAM,-94.67,56.33,1929,1994,Dry,JP,2,740,,,7.15,10342.26,9357.5,1920.9,984.76,896.78,87.99,1900,20.9,0,7436.6,,
GILLAM,-94.67,56.33,1929,1994,Dry,JP,3,790,,,7.5,8570.12,7641.19,687.67,928.93,822.42,106.51,669.44,18.22,0,6953.52,,
GILLAM,-94.67,56.33,1929,1994,Dry,JP,4,880,,,8.9,28374.76,27349.24,1849.24,1025.51,949.89,75.63,1832.98,16.26,0,25500,,
GILLAM,-94.67,56.33,1929,1994,Dry,JP,5,1050,,,10,23271.32,21052.66,2788.14,2218.65,1939.39,279.26,2732.8,55.34,0,18264.52,,
GILLAM,-94.67,56.33,1929,1994,Dry,JP,6,1220,,,13,42017.15,39615.03,4771.73,2402.11,2207.6,194.51,4723.72,48.02,0,34843.3,,
GILLAM,-94.67,56.33,1929,1994,Dry,JP,7,1275,,,13.8,51850.67,49122.81,5729.31,2727.86,2273.04,454.82,5657.5,71.81,0,43393.5,,
GILLAM,-94.67,56.33,1929,1994,Dry,JP,8,1200,,,14.4,68401.5,60558.12,8966.73,7843.38,7184.36,659.02,8806.48,160.25,0,51591.39,,
GILLAM,-94.67,56.33,1929,1994,Dry,JP,9,1175,,,15.1,60354.81,55307.71,8777.61,5047.1,4270.11,776.99,8588.47,189.14,0,46530.09,,
GILLAM,-94.67,56.33,1929,1994,Dry,JP,10,1280,,,17,88667.46,82312.8,20350.75,6354.66,5514.63,840.03,19611.68,739.07,0,61962.05,,
OJP,-98.62396,55.92842,1931,1994,Dry,JP,1,614,,,4.5,3340.92,3142.55,320.19,198.38,182.09,16.29,315.72,4.47,0,2822.35,,
OJP,-98.62396,55.92842,1931,1994,Dry,JP,2,850,,,7.3,11799.68,10799.45,874.47,1000.22,860.21,140.01,841.79,32.67,0,9924.99,,
OJP,-98.62396,55.92842,1931,1994,Dry,JP,3,876,,,8.8,17082.03,15591.9,994.05,1490.13,1361.29,128.85,967.85,26.2,0,14597.85,,
OJP,-98.62396,55.92842,1931,1994,Dry,JP,4,1020,,,10.2,24103.52,22170.03,2615.16,1933.49,1654.87,278.62,2569.38,45.78,0,19554.87,,
OJP,-98.62396,55.92842,1931,1994,Dry,JP,5,953,,,10.4,24435.15,22175.72,2419.36,2259.43,1958.94,300.48,2363.27,56.08,0,19756.36,,
OJP,-98.62396,55.92842,1931,1994,Dry,JP,6,1012,,,12.1,38575.53,34296.21,4762.54,4279.32,3867.58,411.74,4676.78,85.77,0,29533.67,,
OJP,-98.62396,55.92842,1931,1994,Dry,JP,7,1200,,,13.9,52080.48,47535.84,6392.1,4544.64,3900.69,643.95,6293.19,98.91,0,41143.74,,
OJP,-98.62396,55.92842,1931,1994,Dry,JP,8,1150,,,14.1,49577.89,45736.82,5279.71,3841.07,3337.04,504.04,5188.37,91.33,0,40457.11,,
OJP,-98.62396,55.92842,1931,1994,Dry,JP,9,1300,,,14.8,72395.31,67114.82,9539.57,5280.49,4495.4,785.09,9367.26,172.3,0,57575.26,,
OJP,-98.62396,55.92842,1931,1994,Dry,JP,10,1440,,,16.8,94518.59,87944.39,9415.12,6574.21,5500.2,1074,9145.68,269.44,0,78529.27,,
U6W5S,-98.48,55.88,1962,1994,Wet,JP,1,144,,,0.6,185.86,109.45,21.55,76.41,62.26,14.15,19.46,2.09,0,87.9,,
U6W5S,-98.48,55.88,1962,1994,Wet,JP,2,152,,,0.9,361.07,225.68,111.88,135.39,119.61,15.78,109.35,2.53,0,113.8,,
U6W5S,-98.48,55.88,1962,1994,Wet,JP,3,290,,,2.6,1048.55,754.9,94.06,293.65,247.54,46.11,87.49,6.56,0,660.84,,
U6W5S,-98.48,55.88,1962,1994,Wet,JP,4,341,,,3.6,2283.92,1713.25,271.28,570.67,453.89,116.78,251.62,19.66,0,1441.97,,
U6W5S,-98.48,55.88,1962,1994,Wet,JP,5,363,,,4.6,3951.64,2923.72,808.66,1027.92,862.06,165.86,778.3,30.36,0,2115.06,,
W1964,-98.38812,55.91993,1964,1999,Wet,JP,7,451,8.1,7,5.8,4592.97,3960.45,678.72,632.52,522,110.52,646.1,32.62,133.8,3147.93,,
W1964,-98.38812,55.91993,1964,1999,Wet,JP,8,184,2.6,2.35,1.5,377.68,312.54,52.52,65.14,55.76,9.38,50.28,2.24,13.7,246.32,,
W1964,-98.38812,55.91993,1964,1999,Wet,JP,9,323,6.9,5.4,4.3,2872.95,2321.09,658.12,551.86,474.4,77.46,636.3,21.82,188.1,1474.87,,
W1964,-98.38812,55.91993,1964,1999,Wet,JP,10,,1.66,1.53,,165.8,142.73,12.15,23.07,22.5,0.57,9.93,2.22,2.6,127.98,,
W1964,-98.38812,55.91993,1964,1999,Wet,JP,11,519,11,9.5,7.2,9666.49,8169.98,1497.95,1496.51,1261.51,235,1458.35,39.6,1136.5,5535.53,,
W1964,-98.38812,55.91993,1964,1999,Wet,JP,12,259,4.2,4.1,2.3,1117.24,889.69,180.48,227.55,201.2,26.35,170.4,10.08,43.6,665.61,,
W1981,-98.48128,55.86351,1981,1999,Wet,JP,2,105,1.12,1.01,,66.4,36.2,8.6,30.2,20.7,9.5,6.6,2,0,27.6,,
